"setting","method","dataset","attempt","seed","pass","a","b","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean","A_zconsist","Aprime_sdz","B_truth","C_spread"
6,1,6,0,1606,TRUE,2.724265,7.56138974324352,3.13667813089526,10.0815020265654,1.4444094822995,1.53327966742141,0.942039155015103,1.01669597158509,NA,NA,NA,NA,5.2628215854097,5.43438595414387,14.612149661752,14.3599869795911,TRUE,TRUE,TRUE,TRUE
6,2,6,1,10525,TRUE,2.697425,7.5012301255156,3.06865888298574,10.011389648826,1.4980760312998,1.53562511232048,0.975548015775842,1.0361787499122,0.330938218513934,0.0321424614507705,0.344877610774093,0.0794317646875128,3.56443804012196,5.07915374508614,14.6084739696621,14.3599869795911,TRUE,TRUE,TRUE,TRUE
6,1,7,1,9526,TRUE,2.385005,8.92188864188864,2.52024005394716,10.2109293983529,1.91101671933145,1.81910644432432,1.05052495707104,0.97796242905568,NA,NA,NA,NA,5.19587978514263,5.56000747531023,15.0271502781747,14.9195795025411,TRUE,TRUE,TRUE,TRUE
6,2,7,0,2607,TRUE,2.39564,8.95336308694054,2.96470853743743,9.72906337002,1.84989815318489,1.815904747734,1.01871981748674,0.871234277015972,0.578169167184049,0.0467939484668952,0.175431893008677,-0.067376651435224,5.8047427196748,6.21073693428054,15.213472218157,14.9195795025411,TRUE,TRUE,TRUE,TRUE
6,1,8,0,1608,TRUE,2.652425,8.74277918684403,3.074676493313,9.91423001863023,1.72615568202174,1.6815440111067,1.02653018334363,0.930032378680057,NA,NA,NA,NA,5.38451330311025,5.88932163033708,15.2216003179412,15.24806290085,TRUE,TRUE,TRUE,TRUE
6,2,8,0,2608,TRUE,2.65862,8.79022524129188,3.17190212358302,9.42187991497296,1.8477301054105,1.68166415635552,1.09875095953456,0.92242776500404,0.289284308791494,0.181398281624995,0.217699782624377,0.285194726012087,4.67740602518921,5.75002422767244,15.2826989601328,15.24806290085,TRUE,TRUE,TRUE,TRUE
6,1,9,1,9528,FALSE,2.908695,8.71954979709509,0.902436735833963,9.64052538472158,1.44492120066971,1.57527765215615,0.917248587061448,1.0732701097912,NA,NA,NA,NA,2.58018481035793,2.58018481035793,10.9444753565912,10.9725448071704,TRUE,TRUE,FALSE,TRUE
6,2,9,1,10528,FALSE,2.9536,8.8516770238037,0.969799504971226,9.5807064922001,1.40985577782035,1.57243695480955,0.896605599040446,1.01277394613014,0.0287275979561527,-0.12865557000051,0.439735694718843,0.273183264602592,3.29651270508533,3.29651270508533,10.9479839276111,10.9725448071704,TRUE,TRUE,FALSE,TRUE
6,1,10,0,1610,TRUE,2.804225,7.34663198528698,3.81021298326444,10.4879570096119,1.5721847490183,1.48953021265182,1.0554903389434,1.45786806335384,NA,NA,NA,NA,5.69591081661163,5.92783490262717,16.4783157524118,16.569449250973,TRUE,TRUE,TRUE,TRUE
6,2,10,1,10529,TRUE,2.82058,7.42277130644318,3.73949780940451,10.4033106053765,1.63248373700694,1.49167617510025,1.09439552917524,1.49269994576212,0.381755047748336,0.034231510500746,0.43711902698114,0.0523490155853555,4.55581454156371,5.90073247800805,16.5079799638024,16.569449250973,TRUE,TRUE,TRUE,TRUE
7,1,1,1,9620,FALSE,4.3611,11.7707692711366,0.798651607091084,9.72849010250642,1.4371455810998,1.395043386943,1.03017984569574,1.05452391094523,NA,NA,NA,NA,2.11604832256886,2.13904267478374,10.8762687304756,11.1123945408742,TRUE,TRUE,FALSE,TRUE
7,2,1,1,10620,FALSE,4.446875,11.9222976159436,1.02051562625843,9.68814967529984,1.2307900665079,1.38416001063593,0.889196376900407,0.926538812573466,0.373332347156817,0.27943203635066,0.373505598070943,-0.15339793840173,2.06116564363002,2.29119239429284,10.9441901708148,11.1123945408742,TRUE,TRUE,FALSE,TRUE
7,1,2,1,9621,FALSE,3.603205,14.0068689706836,1.18185603724637,10.3259431661289,1.70861081296564,1.72189013436014,0.992287939207319,1.02400134514895,NA,NA,NA,NA,2.98076086502234,3.01540177572966,12.3452751707368,12.070670771313,TRUE,TRUE,FALSE,TRUE
7,2,2,1,10621,TRUE,3.636095,14.1485335732613,1.4833706797724,10.2809258324061,1.4345382564713,1.71838091430295,0.83481970995541,0.85012952662912,0.302817508253286,0.0870342761576199,0.559118583294079,0.0950218764500621,3.12862291805337,3.36068887957491,12.4088778210675,12.070670771313,TRUE,TRUE,TRUE,TRUE
7,1,3,1,9622,TRUE,2.851065,14.5673241828559,4.02985101691606,11.1241566439479,2.41914286044909,2.03191235959202,1.19057441086426,0.846516800887096,NA,NA,NA,NA,8.6067625084553,8.6067625084553,20.8729419601938,21.1545219699921,TRUE,TRUE,TRUE,TRUE
