"setting","dataset","method_id","family","method_label","mrts_k","quantile","baseline_brier","mrts_brier","delta_brier","baseline_quant","mrts_quant","delta_quant"
4,10,1,"gaussian","Gaussian",10,0.96,0.01356653195,0.0135674409136364,9.08963636364266e-07,0.980856922765015,0.980943076367992,8.61536029764798e-05
4,10,1,"gaussian","Gaussian",10,0.97,0.0111703978636364,0.0111628557272727,-7.54213636363667e-06,0.801137659088065,0.801133098589201,-4.56049886454757e-06
4,10,1,"gaussian","Gaussian",10,0.98,0.00763894119545455,0.00764311891818182,4.1777227272723e-06,0.586188175491848,0.58602682438324,-0.000161351108607932
4,10,1,"gaussian","Gaussian",10,0.99,0.00523149210454545,0.00521186678636364,-1.96253181818182e-05,0.324069219914807,0.324114772628284,4.55527134771705e-05
4,10,1,"gaussian","Gaussian",10,0.995,0.00403257372727273,0.00406053663636364,2.79629090909088e-05,0.177879478031531,0.177849503049664,-2.99749818667705e-05
4,11,1,"gaussian","Gaussian",10,0.9,0.0231005422818182,0.0231316350954545,3.10928136363631e-05,1.66294061860841,1.66285244267606,-8.81759323578812e-05
4,11,1,"gaussian","Gaussian",10,0.91,0.0233501184181818,0.0233468825454545,-3.23587272727313e-06,1.55151364285907,1.55130428352192,-0.000209359337153048
4,11,1,"gaussian","Gaussian",10,0.92,0.0207887734318182,0.02077929115,-9.48228181818153e-06,1.43367259504872,1.43345416956403,-0.000218425484692197
4,11,1,"gaussian","Gaussian",10,0.93,0.0196483872954545,0.0196156739863636,-3.27133090909093e-05,1.30625180447993,1.30601881212428,-0.000232992355654105
4,11,1,"gaussian","Gaussian",10,0.94,0.0179798885727273,0.0179528407727273,-2.70477999999991e-05,1.16834239829715,1.16788715561302,-0.000455242684127333
4,11,1,"gaussian","Gaussian",10,0.95,0.0154049125636364,0.0153387439045455,-6.61686590909087e-05,1.01887704097016,1.01842295395471,-0.000454087015449911
4,11,1,"gaussian","Gaussian",10,0.96,0.0127713050454545,0.0127435749909091,-2.77300545454533e-05,0.859676327824304,0.859315346889447,-0.000360980934857258
4,11,1,"gaussian","Gaussian",10,0.97,0.01081986835,0.0108374174818182,1.75491318181835e-05,0.687914465831842,0.687738232987461,-0.000176232844380841
4,11,1,"gaussian","Gaussian",10,0.98,0.00897430455,0.00895868208636364,-1.56224636363653e-05,0.495789736703956,0.495661821510821,-0.000127915193134376
4,11,1,"gaussian","Gaussian",10,0.99,0.00518260053181818,0.00515549925454546,-2.71012772727272e-05,0.266168264607548,0.266059430157619,-0.000108834449929152
4,11,1,"gaussian","Gaussian",10,0.995,0.00305801630454545,0.00303693923181818,-2.10770727272725e-05,0.139963637407184,0.13994706132889,-1.65760782937785e-05
4,12,1,"gaussian","Gaussian",10,0.9,0.0160919565409091,0.0161354181045455,4.34615636363614e-05,2.16351132330462,2.16378231329304,0.000270989988414794
4,12,1,"gaussian","Gaussian",10,0.91,0.0119936607409091,0.0120721684909091,7.85077499999998e-05,2.03951870619218,2.03971182800856,0.000193121816387531
