"setting","dataset","method","block","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean"
4,"2","2","2",2.51769047073075,10.1464203154815,1.68929198861363,1.54157812999749,1.09581989763722,0.942625910151128,0.533003074759272,-0.206093940173042,0.67883019302709,-0.366629443846378,4.20529212387608,4.21921883869583,14.3995346574958,14.406510648529
4,"3","2","2",2.96376258862946,10.3209117616519,1.37899411040958,1.45362914622529,0.948656068152236,1.22391137039667,0.737976026951388,-0.393518382227115,0.604889291010321,-0.154944087790908,5.91416646124876,5.91416646124876,14.4079229160241,14.434405395198
4,"4","2","2",2.36284591715442,9.98048711398969,1.28731904162888,1.37278944164685,0.937739614375649,0.949272464244853,0.641784981947533,-0.274300907203183,0.648586061412284,-0.156830182743511,3.15281897855571,3.48100065864926,13.0222236555776,12.9817280894322
4,"5","2","2",3.5458461073591,9.82164506104642,1.55945922729091,1.47337558190949,1.05842613820833,1.11258978839714,0.848134398878381,-0.411612909025154,0.658773362976953,-0.2009117649193,5.28561325997979,5.37116649810133,15.3512474917211,15.3579471312086
4,"6","2","2",3.12249581206267,9.91403199601353,1.6013772516161,1.66898343509974,0.959492597672428,1.02703131215163,0.74350954670317,-0.242206771333067,0.810903704891479,-0.321909769591016,3.45934588148273,8.06225483779943,14.9143257577172,14.8685164263308
4,"7","2","2",2.30414847780569,10.1981413681912,1.54092417940037,1.54139517895464,0.999694432965214,1.39856008013943,0.634964715942849,-0.388285905794285,0.571789537139572,-0.287841086079475,3.55762902566263,4.5106501276534,13.7486594705705,13.7184925436612
4,"8","2","2",2.68822522557955,10.1892191981915,1.61817949493834,1.58733583032088,1.01943108952013,1.12299192957625,0.680151875012408,-0.337847986334418,0.68173647376403,-0.377802028015996,3.65385393039701,5.07882581315874,14.5392501360003,14.5978648602289
4,"9","2","2",2.28348034100662,10.3161223524331,1.60621375876941,1.55656370834684,1.0318972170277,1.02449270760805,0.574234283724364,-0.188247517802867,0.748719572471767,-0.191557996884599,3.1671009836127,4.10261563058841,13.9838798940374,13.8137939638863
4,"10","2","2",3.12351261948959,9.67808445626571,1.60702224461716,1.57770276776698,1.01858365051339,1.5668881221447,0.7366391262491,-0.294731926958571,0.811078230425107,-0.505712961180414,2.39280341948726,5.54209663373679,14.6976387171279,14.645862131992
4,"1","4","2",2.73399066339112,10.4292495208255,1.53902131306507,1.56435789985302,0.983803842592331,0.998498855824327,0.573599045415967,NA,0.675176634673438,NA,4.76365308113767,5.1981261864964,14.6369194215054,14.5926359976645
4,"2","4","2",2.5128932558909,10.0536159153968,1.74039204722517,1.54309268653736,1.12785969527893,0.94858722640809,0.465896876900006,NA,0.504445109569983,NA,4.6115665140255,4.6115665140255,14.4270353534751,14.406510648529
4,"3","4","2",3.01306538864472,10.3405717070311,1.34276362650429,1.45437510433017,0.923258121310261,1.19572968621796,0.492982680449234,NA,0.524444184668961,NA,5.5382613188822,5.5382613188822,14.3864063151822,14.434405395198
4,"4","4","2",2.25005566573098,9.9917230606115,1.34483349161036,1.37386060876626,0.978871861547897,0.991759918234112,0.469768388009374,NA,0.564729231728092,NA,3.05166028006007,3.36411932748094,13.0176732778742,12.9817280894322
4,"5","4","2",4.79513089651185,9.61903904433261,1.21022543893849,1.46641022047601,0.825298011456601,0.839560318436152,0.690187306883088,NA,0.545214090678576,NA,6.8205869340755,7.29182853720155,15.4222284383312,15.3579471312086
4,"6","4","2",3.06201024791847,9.79521755254952,1.68596327210184,1.67146165955445,1.0086760066942,1.05537835983089,0.617495177747883,NA,0.60767476698155,NA,3.90550078569985,7.07002171047685,14.9576543693395,14.8685164263308
