"setting","method","block","parameter","n_datasets","mean_post_mean","median_post_mean","sd_post_mean","mean_post_sd"
7,4,1,"gamma",10,0.919965381832537,0.926453528654333,0.0294227704750248,0.032153639135334
7,4,2,"gamma",10,0.91485709022507,0.913494479422592,0.0294701819650433,0.0295530972533569
7,4,3,"gamma",10,0.917535610285576,0.922344331899097,0.0364175810964606,0.0236422557444661
7,4,4,"gamma",10,0.921419522921481,0.927643705073311,0.0347849701946699,0.0218953334662859
7,4,5,"gamma",10,0.919509700334727,0.924580312309361,0.0316489863036513,0.019824938741952
7,1,1,"tau.alpha",10,3.8663305,4.28082,0.745312548519262,0.498989520574704
7,1,2,"tau.alpha",10,4.241671,4.5435625,0.566148134456777,0.393235165145948
7,1,3,"tau.alpha",10,4.3298725,4.4946775,0.507160891714574,0.351738914124249
7,1,4,"tau.alpha",10,4.323515,4.4534125,0.59287493600159,0.316077849739941
7,1,5,"tau.alpha",10,4.3635865,4.43804,0.543997464812567,0.289036372582322
7,2,1,"tau.alpha",10,3.918406,4.3572825,0.742794348385428,0.490342766591902
7,2,2,"tau.alpha",10,4.287674,4.57821,0.539456374916246,0.381189607976747
7,2,3,"tau.alpha",10,4.378032,4.5538275,0.493382125465535,0.337886143351367
7,2,4,"tau.alpha",10,4.360249,4.495615,0.585045503067924,0.303290184268144
7,2,5,"tau.alpha",10,4.4025625,4.4972225,0.527809726391634,0.280902895930259
7,4,1,"tau.alpha",10,3.9202395,4.340465,0.741016844622044,0.488741677810467
7,4,2,"tau.alpha",10,4.2811685,4.5830175,0.546748005453101,0.386198094376932
7,4,3,"tau.alpha",10,4.373494,4.56004,0.4940500992016,0.340811597378822
7,4,4,"tau.alpha",10,4.3584355,4.5031075,0.593379254564014,0.304403456738377
7,4,5,"tau.alpha",10,4.404074,4.48123,0.520909195412747,0.28157187780351
7,1,1,"tau.beta",10,11.3744148916034,12.0584980508046,2.31937181504813,1.83680439449381
7,1,2,"tau.beta",10,13.0083595482742,13.6943456669928,2.9002389598079,1.55315493755629
7,1,3,"tau.beta",10,14.1296748488355,15.2152466710924,3.51963935503032,1.44360207192223
7,1,4,"tau.beta",10,14.4343354296323,15.2839241883964,3.67882614973191,1.34742598283005
7,1,5,"tau.beta",10,14.7245759657933,14.9886347760208,3.70133991878697,1.25916307615476
7,2,1,"tau.beta",10,11.5510947682975,12.1299501214302,2.42289539752929,1.83072341053972
7,2,2,"tau.beta",10,13.1596240792406,13.8565089698591,2.9807608885086,1.52990886050019
7,2,3,"tau.beta",10,14.2579290735174,15.4652302210428,3.53679901018758,1.39865236994701
7,2,4,"tau.beta",10,14.5630769583166,15.5116224703232,3.81655270330503,1.30090578236785
7,2,5,"tau.beta",10,14.759686754808,15.0648540619056,3.73530677502317,1.22242480012771
7,4,1,"tau.beta",10,11.5968054912157,12.2015815005405,2.42202422949232,1.83335100205265
7,4,2,"tau.beta",10,13.154976155121,13.9032960057586,2.99778445093133,1.54408517339752
