"setting","method","dataset","block","param","mean","sd","q025","q50","q975","truth","truth_is_generating","covered"
7,1,10,3,"nu",0.537319126484879,0.0706792097292527,0.413202549686775,0.534076645490855,0.691249343899123,0.5,TRUE,TRUE
7,1,10,3,"gamma",0.894262247557314,0.027391258884921,0.844106957283443,0.89257917011217,0.953861117566276,0.9,TRUE,TRUE
7,1,10,3,"tau.alpha",3.91471,0.486906894315919,3,3.9,4.85,3,TRUE,TRUE
7,1,10,3,"tau.beta",15.7977064966507,2.13108237256375,11.7941062510968,15.7408124660671,19.9447099441901,8,TRUE,FALSE
7,1,10,3,"phi.z1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,10,3,"phi.z2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,10,3,"phi.tau1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,10,3,"phi.tau2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,10,3,"phi.w1",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,10,3,"phi.w2",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,10,4,"beta0",12.3088953898485,0.207728163153273,11.8742626978549,12.3181967659355,12.6918776245041,10,TRUE,FALSE
7,1,10,4,"beta1",-0.0139526716413625,0.0101921698746863,-0.0339459069422272,-0.0139050883997071,0.0060339908781819,0,TRUE,TRUE
7,1,10,4,"beta2",0.0035269841724923,0.0100693188894502,-0.0164039953348532,0.00359548176428405,0.0231713771412249,0,TRUE,TRUE
7,1,10,4,"lambda",3.19112876417763,0.208388820426722,2.77111109987876,3.197440292521,3.60490764949013,3,TRUE,TRUE
7,1,10,4,"rho",0.969011969130413,0.0637331280971925,0.851355806362414,0.96572890575003,1.09644199880408,1,TRUE,TRUE
7,1,10,4,"nu",0.516577246538225,0.0474115436320923,0.434899877376472,0.515889446096196,0.609438221499093,0.5,TRUE,TRUE
7,1,10,4,"gamma",0.900577389628088,0.0206846223862506,0.863850138336155,0.899229696047182,0.941769381363029,0.9,TRUE,TRUE
7,1,10,4,"tau.alpha",3.896875,0.433051657136623,3.1,3.9,4.8,3,TRUE,FALSE
7,1,10,4,"tau.beta",16.0224005980396,1.93675923606561,12.4369547752577,15.9584921424558,19.9257373950521,8,TRUE,FALSE
7,1,10,4,"phi.z1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,10,4,"phi.z2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,10,4,"phi.tau1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,10,4,"phi.tau2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,10,4,"phi.w1",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,10,4,"phi.w2",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,10,5,"beta0",12.4217767609404,0.186632787542722,12.0514928676198,12.4227683996408,12.7811790110753,10,TRUE,FALSE
7,1,10,5,"beta1",-0.0130526372305691,0.00960171475258457,-0.0318958091726868,-0.0130787085140633,0.00584193712766252,0,TRUE,TRUE
7,1,10,5,"beta2",0.00326869145957648,0.00947457892847118,-0.0153711307072226,0.00341504789669637,0.0213677492321275,0,TRUE,TRUE
7,1,10,5,"lambda",2.99028368793534,0.17991035258372,2.6352989160471,2.99466652272406,3.34651745081618,3,TRUE,TRUE
7,1,10,5,"rho",0.904854332732887,0.0575638945361036,0.787447693535159,0.901332246175613,1.02611814659797,1,TRUE,TRUE
7,1,10,5,"nu",0.591194580450963,0.052783760363881,0.494287726408954,0.592059992886813,0.714695148177586,0.5,TRUE,TRUE
