"setting","dataset","method","block","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean","A_zconsist","Aprime_sdz","B_truth","C_spread"
7,"10","2","3",3.59465363253712,11.2755881951159,1.82626172137006,1.76228543653863,1.03630302078481,0.64805382535569,0.640006393735832,0.167518839410522,0.650364991076376,0.0566227153170129,4.46475126351001,6.52075468977257,17.8403665258023,17.7118627088766,1,1,1,1
7,"1","4","3",1.40922006809247,9.94490009358062,1.44541565011739,1.41862665931529,1.01888374973514,1.02728663577267,0.598553859948853,NA,0.605179920003477,NA,2.12959263950296,2.58164015750074,11.981808834461,12.0520319921844,1,1,1,1
7,"2","4","3",1.20878943318408,9.88204507479714,1.46721191059451,1.6845560082361,0.870978408210263,0.959546476149288,0.448968444934418,NA,0.569717210935364,NA,2.29598532811157,2.88355943015521,11.6555953285656,11.5255132477851,1,1,1,1
7,"3","4","3",7.03566250425333,9.41193979783782,1.38256213608297,1.89856981949613,0.728212426999339,0.498162214073833,0.900724157908551,NA,0.616607139585675,NA,3.88003225720506,9.90831099587646,19.1391803784772,18.6632140610427,1,0,0,1
7,"4","4","3",1.2978213032367,10.0856647821545,1.04769650169136,1.10340566612687,0.949511620117871,1.11039865410573,0.45769969747267,NA,0.769962786913087,NA,1.6682172061554,1.96046525155163,11.4453876213761,11.4664432354342,1,1,1,1
7,"5","4","3",7.16691008764007,11.7099239413861,1.11892655680873,1.2317595372862,0.908396909411345,0.496894138691936,0.920476153605904,NA,0.78530158276441,NA,3.47980040371175,7.28433349537053,19.7291699687069,19.6822499526964,1,0,0,1
7,"6","4","3",4.72892005645961,10.3390568906427,1.7426352552171,1.59560838307919,1.09214471025414,0.710851079609091,0.851895018670398,NA,0.694101596447511,NA,3.22708517061703,6.82883435078361,18.5798397001325,18.1802486969202,1,1,1,1
7,"7","4","3",3.47360003723352,10.7738161318228,2.47079544753593,1.97639226582463,1.25015437990748,0.742265694103289,0.774586091648795,NA,0.567705355801286,NA,5.35489347861908,7.09942681471116,19.35637129038,19.1803861742849,1,1,1,1
7,"8","4","3",1.40184369417092,10.3025903983184,1.59293579237114,1.5525415613964,1.02601813180344,0.911336203631339,0.550576138172173,NA,0.740051972207564,NA,2.98792362363668,3.06971591957328,12.535637394073,12.654037374242,1,1,1,1
7,"9","4","3",1.5546848393366,10.4713686727613,1.26814743202448,1.30854958637345,0.969124475855023,1.04676203877618,0.404883688847194,NA,0.650017325521615,NA,2.98002337868056,2.98002337868056,12.4429382593734,12.5434577554605,1,1,1,1
7,"10","4","3",2.97724575700856,11.5780584092983,2.08337815123994,1.76598091629031,1.17972857578573,0.769658008472665,0.713544764088997,NA,0.700704969464634,NA,4.26052289653795,5.45894406711184,17.7807871703217,17.7118627088766,1,1,1,1
7,"1","1","4",1.61385498789758,10.0331947947204,1.45805841610829,1.40656976240461,1.03660583006964,1.03026688672439,NA,NA,NA,NA,2.70866049577422,2.73986804855656,12.3862896422028,12.4753459692636,1,1,1,1
7,"2","1","4",0.994055401657279,9.80376967995283,1.56523827856382,1.64481251541173,0.951621089879659,1.08824814719227,NA,NA,NA,NA,2.60240705500285,2.61160479854784,11.3597032456399,11.3369402118085,1,1,0,1
7,"3","1","4",3.1566819882348,11.2668426419675,2.18231018400802,1.91801399495153,1.13779679905994,0.960750600231336,NA,NA,NA,NA,5.72384949745175,5.91189043244764,18.155701892567,18.2073221402651,1,1,1,1
7,"4","1","4",1.27312722019791,10.1055768102062,1.11949412219793,1.09351379515877,1.02375857273514,1.1056405941422,NA,NA,NA,NA,1.88765807729484,1.91076388256315,11.530835250028,11.5610957388455,1,1,1,1
7,"5","1","4",3.61597917871772,14.0806960037161,1.52993139885976,1.30545262599109,1.17195474458389,0.878659781881744,NA,NA,NA,NA,4.3959820581869,4.4222179010071,19.6128960868595,19.6335938428233,1,1,1,1
7,"6","1","4",3.41651375441922,11.6948688782787,1.84560421983426,1.57927655481173,1.16863902918782,0.95355291194128,NA,NA,NA,NA,4.94144372320964,5.13531687100167,18.0004010805566,17.8174163936545,1,1,1,1
7,"7","1","4",3.0697331705555,12.0721933989108,2.4707089002533,2.1243637141326,1.16303478722434,0.787000730125231,NA,NA,NA,NA,6.52235292977032,6.88381742062078,19.656610464805,19.6217088025074,1,1,1,1
7,"8","1","4",1.50995896459461,10.4196092746834,1.83433118963486,1.69620002743652,1.08143565615141,1.21689794236818,NA,NA,NA,NA,3.09101358535712,3.13570541186022,13.189374098508,13.2861079290519,1,1,1,1
7,"9","1","4",1.65316205809122,10.536307882191,1.34643320936465,1.3195642186994,1.02036201822124,1.08135818103624,NA,NA,NA,NA,2.55134478316781,2.58358579099394,12.7621801776666,12.8705366109603,1,1,1,1
7,"10","1","4",3.19112876417763,12.3088953898485,1.97972462453635,1.78650613008641,1.10815439767934,0.910659510144243,NA,NA,NA,NA,5.42064430324598,5.53407119403746,18.6264515843572,18.5565960784059,1,1,1,1
7,"1","2","4",1.84954711153458,9.99660582888429,1.30325953904457,1.39912149939065,0.931484177472915,0.922182614314102,0.535892151340348,0.211163522355193,0.582906048551591,0.0400909175986996,2.10342569609166,2.94822363676788,12.4070457449041,12.4753459692636,1,1,1,1
7,"2","2","4",1.27351852738686,9.87057785985846,1.24012959670024,1.63750767022943,0.757327504014978,0.911747397904727,0.364139432605893,0.253984499428933,0.565093051412394,0.091527866203138,1.95991193776177,2.84061270627789,11.449905877617,11.3369402118085,1,1,1,1
7,"3","2","4",4.03144544479925,9.81602484079616,2.08260432037582,1.91178848067308,1.08934871269996,0.762848468223086,0.4996287414843,0.402393797332957,0.429332825667775,0.223440668504871,4.38204187694387,6.88314823519589,18.2119305414945,18.2073221402651,1,1,1,1
7,"4","2","4",1.43495726358996,10.1111107843779,1.00035866843298,1.08626587027446,0.920915123827126,0.99661168251896,0.341122236058289,0.229984812877757,0.663933357661996,0.144521573847157,1.79561785324061,2.01913263646222,11.546582721841,11.5610957388455,1,1,1,1
7,"5","2","4",6.95969762575409,11.5397519441468,1.19386733910242,1.29021333804785,0.925325528651555,0.482754460180871,0.435435790510074,0.520238553248812,0.570495991035202,0.232322324365698,3.53060363609562,6.02211078061085,19.8487076295633,19.6335938428233,1,0,0,1
7,"6","2","4",3.64979774881256,10.2464352806786,2.1366720143725,1.57962916853475,1.35264152937519,0.905857274910339,0.562265129742978,0.305878719926121,0.521486702154958,0.187486861810508,3.62449741790104,5.83368348314794,18.0448559886861,17.8174163936545,1,1,1,1
7,"7","2","4",3.67178553237963,10.5510100732833,2.87257182527789,2.13000005740502,1.34862523373711,0.76804284512232,0.551292191576521,0.293526629290873,0.458387261588387,0.279667622027272,4.82600272987326,8.19096412586551,21.09847774206,19.6217088025074,1,1,1,1
7,"8","2","4",1.53604944013898,10.3407527412038,1.86246504236201,1.69490845125994,1.09885878554533,1.20634336830878,0.428954065479721,0.175821202246978,0.518018430421944,0.287032923443911,2.64114694282199,3.13720241064746,13.2015911268024,13.2861079290519,1,1,1,1
7,"9","2","4",1.76393153359184,10.5472108717149,1.26417810845341,1.31654330038236,0.960225241422947,1.02390219013087,0.29493948390316,0.367881031763267,0.515487777461041,0.138254988401468,2.87582377645238,2.90865281393899,12.7771345012924,12.8705366109603,1,1,1,1
