"score","method","prop_k","quantile","rel_mean","rel_median"
"brier",2,60,0.9,0.350652270563979,0.346224371438318
"brier",2,60,0.91,0.358796963007278,0.352224416748889
"brier",2,60,0.92,0.367184393709191,0.365202624437536
"brier",2,60,0.93,0.379909884490446,0.370807362020958
"brier",2,60,0.94,0.392120528720425,0.392217273216867
"brier",2,60,0.95,0.397287205788356,0.398715185120498
"brier",2,60,0.96,0.409459782676733,0.41852768005993
"brier",2,60,0.97,0.427957395146305,0.410669151586606
"brier",2,60,0.98,0.45920417114146,0.511232886749589
"brier",2,60,0.99,0.650790413116037,0.623409513992574
"brier",2,60,0.995,0.784713959123974,0.701193044208407
"brier",3,60,0.9,0.73978049952451,0.737139969172997
"brier",3,60,0.91,0.760108455106975,0.75832400055494
"brier",3,60,0.92,0.779301732323285,0.783765647029193
"brier",3,60,0.93,0.803594053131268,0.80803721920068
"brier",3,60,0.94,0.829596457137767,0.826640158693306
"brier",3,60,0.95,0.856625850914331,0.853249790084617
"brier",3,60,0.96,0.897597071010599,0.878505109070555
"brier",3,60,0.97,0.948053536934369,0.9426682065008
"brier",3,60,0.98,1.01577342336962,0.955430730588053
"brier",3,60,0.99,1.25192631030388,1.11191489812121
"brier",3,60,0.995,1.65029174342737,1.42199801402543
"brier",4,60,0.9,0.437883583200489,0.394254149075438
"brier",4,60,0.91,0.448029568627987,0.408972458938221
"brier",4,60,0.92,0.458597257557851,0.403336062414478
"brier",4,60,0.93,0.472889012098995,0.398178123580424
"brier",4,60,0.94,0.488721513859349,0.433595026670536
"brier",4,60,0.95,0.501113463924654,0.435436771384466
"brier",4,60,0.96,0.517444496896305,0.481655545091652
"brier",4,60,0.97,0.550269727232298,0.464530470457749
"brier",4,60,0.98,0.604412141002924,0.557280332330022
"brier",4,60,0.99,0.895132839943322,0.691462183815537
"brier",4,60,0.995,1.17631141036159,0.811996607720157
"brier",5,60,0.9,0.729270556048375,0.720855901135406
"brier",5,60,0.91,0.738904382858445,0.733086853243466
"brier",5,60,0.92,0.747461972747727,0.741810186438328
