"setting","dataset","method_id","method_key","family","baseline_label","proposal_label","prop_k","quantile","band","baseline_brier","prop_brier","delta_brier","improve_brier_pct","baseline_quant","prop_quant","delta_quant","improve_quant_pct"
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.97,"other",0.0104082567363636,0.0159935336363636,0.0055852769,-53.6619824190784,0.682435676942471,0.694625673201918,0.0121899962594471,-1.78624838520491
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.98,"tail",0.00607393970909091,0.00794147646464646,0.00186753675555556,-30.746712101215,0.49902053126244,0.510016337480441,0.0109958062180002,-2.20347771867874
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.99,"tail",0.00406967255909091,0.00474004141414141,0.000670368855050505,-16.4723044745461,0.286333197234225,0.294811879111436,0.00847868187721112,-2.96112429823337
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.995,"tail",0.0018559084,0.00242602580808081,0.000570117408080808,-30.7190488539633,0.16294475692789,0.169425279554006,0.00648052262611559,-3.97712865899913
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=8)",8,0.9,"bulk",0.0369849896227273,0.0570806397979798,0.0200956501752525,-54.3346108252083,1.53089559559696,1.56892417301655,0.0380285774195919,-2.48407386688985
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=8)",8,0.91,"bulk",0.0324569290681818,0.0509678284848485,0.0185108994166667,-57.0321960459693,1.43572728676219,1.46728541546072,0.0315581286985349,-2.19805871139386
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=8)",8,0.92,"bulk",0.0282793823409091,0.0441353261616162,0.0158559438207071,-56.0689184422878,1.33449743073302,1.36307768987605,0.0285802591430266,-2.14164961916247
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=8)",8,0.93,"bulk",0.0264194168363636,0.0413528296969697,0.0149334128606061,-56.5243848988057,1.22667612682162,1.25283746166194,0.0261613348403216,-2.13270106658935
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=8)",8,0.94,"bulk",0.0222005879090909,0.0349683873737374,0.0127677994646465,-57.5110871699852,1.11159040328884,1.1322942268162,0.0207038235273609,-1.86254068639896
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=8)",8,0.95,"bulk",0.0179161612409091,0.0300392358585859,0.0121230746176768,-67.6655811178758,0.982665643555205,1.00363444456484,0.0209688010096355,-2.13386935293393
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=8)",8,0.96,"other",0.0148042881681818,0.0255015268181818,0.01069723865,-72.2577035010105,0.84213343390387,0.865476386766168,0.0233429528622983,-2.77188292526133
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=8)",8,0.97,"other",0.0104082567363636,0.019029792020202,0.00862153528383838,-82.8336147177949,0.682435676942471,0.718278935664209,0.0358432587217375,-5.25225452489922
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=8)",8,0.98,"tail",0.00607393970909091,0.0109727539393939,0.00489881423030303,-80.6529940192021,0.49902053126244,0.552834177379446,0.053813646117006,-10.7838541193618
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=8)",8,0.99,"tail",0.00406967255909091,0.00665854621212121,0.0025888736530303,-63.6138071414918,0.286333197234225,0.370271565797694,0.0839383685634687,-29.3149272855029
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=8)",8,0.995,"tail",0.0018559084,0.00424166878787879,0.00238576038787879,-128.549468706472,0.16294475692789,0.243688291367807,0.0807435344399166,-49.5527048321346
5,3,1,"1","gaussian","Gaussian","Gaussian + prop(k=4)",4,0.9,"bulk",0.0274149546409091,0.0623370929545455,0.0349221383136364,-127.383534902972,1.78227494304819,1.79192266352675,0.00964772047856188,-0.541314936631582
