setting,method_id,method_key,family,baseline_label,proposal_label,prop_k,quantile,band,datasets_compared,baseline_brier,prop_brier,delta_brier,improve_brier_pct,baseline_quant,prop_quant,delta_quant,improve_quant_pct
4,4,4,skew_t_k5_thresh0,"Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.93,bulk,3,0.021490743,0.025678567,0.004187824,-19.87603625,1.32218976,1.328470547,0.006280786,-0.492048904
4,4,4,skew_t_k5_thresh0,"Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.94,bulk,3,0.017204183,0.020681983,0.0034778,-20.09979963,1.191260234,1.196745606,0.005485373,-0.475438339
4,4,4,skew_t_k5_thresh0,"Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.95,bulk,3,0.014055105,0.016745179,0.002690074,-18.46992896,1.047440399,1.051510272,0.004069873,-0.409393247
4,4,4,skew_t_k5_thresh0,"Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.96,other,3,0.011905655,0.01384043,0.001934775,-15.69197421,0.886918175,0.889879835,0.002961659,-0.354224185
4,4,4,skew_t_k5_thresh0,"Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.97,other,3,0.00954378,0.011540732,0.001996952,-20.65084825,0.707518191,0.709645584,0.002127393,-0.334826819
4,4,4,skew_t_k5_thresh0,"Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.98,tail,3,0.006990768,0.008906898,0.00191613,-27.44508232,0.506603672,0.509095861,0.002492189,-0.556772401
4,4,4,skew_t_k5_thresh0,"Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.99,tail,3,0.005015989,0.005761211,0.000745221,-14.714594,0.277904464,0.281253022,0.003348557,-1.478555281
4,4,4,skew_t_k5_thresh0,"Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.995,tail,3,0.003131521,0.003635726,0.000504205,-15.42133021,0.148309686,0.15026027,0.001950584,-1.511217229
4,5,5,t_k5_thresh_q80,"t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.9,bulk,3,0.030762473,0.057084742,0.026322269,-93.13351931,1.664129761,1.782352469,0.118222708,-6.895343945
4,5,5,t_k5_thresh_q80,"t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.91,bulk,3,0.028036888,0.052067168,0.02403028,-93.51618463,1.557794333,1.676982528,0.119188194,-7.387364602
