"score","method","prop_k","quantile","mean","median"
"brier",1,50,0.94,0.0562137594337273,0.0558580352159091
"brier",1,50,0.95,0.0475464296383636,0.0475535238840909
"brier",1,50,0.96,0.0383080570042727,0.0385697608840909
"brier",1,50,0.97,0.0289573696330909,0.0288491676772727
"brier",1,50,0.98,0.0197170046671818,0.0197360099340909
"brier",1,50,0.99,0.00973111148190909,0.00997401082727273
"brier",1,50,0.995,0.00488213430836364,0.00498489177272727
"brier",2,50,0.9,0.03106255077,0.0310791345522727
"brier",2,50,0.91,0.0288093125830909,0.0291097850159091
"brier",2,50,0.92,0.0264952015884545,0.02627883765
"brier",2,50,0.93,0.024270475266,0.0239154853227273
"brier",2,50,0.94,0.0217742523809091,0.0222380914909091
"brier",2,50,0.95,0.0187565964112727,0.0190550559477273
"brier",2,50,0.96,0.0156437403654545,0.0163740292545455
"brier",2,50,0.97,0.0124837686235455,0.0128607780318182
"brier",2,50,0.98,0.00911973564809091,0.00989791214318182
"brier",2,50,0.99,0.00625644770681818,0.00621334579772727
"brier",2,50,0.995,0.00377389455954545,0.00352834018409091
"brier",3,50,0.9,0.0567345545147273,0.0570058384477273
"brier",3,50,0.91,0.0523051414067273,0.0524838489659091
"brier",3,50,0.92,0.0475055323573636,0.0475538658681818
"brier",3,50,0.93,0.0426783551323636,0.0424551303204545
"brier",3,50,0.94,0.0375504701333636,0.0372533494181818
"brier",3,50,0.95,0.0320574414360909,0.0317876795931818
"brier",3,50,0.96,0.0262247290835455,0.0260010631431818
"brier",3,50,0.97,0.020234418033,0.0200960120681818
"brier",3,50,0.98,0.0141633388938182,0.0137253800295455
"brier",3,50,0.99,0.00794410716954545,0.00781823154318182
"brier",3,50,0.995,0.00454465434081818,0.00429330710454545
"brier",4,50,0.9,0.0336319823830909,0.0318680511431818
"brier",4,50,0.91,0.0310907961913636,0.0291217992545455
"brier",4,50,0.92,0.028518352945,0.0255489541
"brier",4,50,0.93,0.0260227474678182,0.0229161498409091
"brier",4,50,0.94,0.0232320069360909,0.0211419485909091
"brier",4,50,0.95,0.0200050909636364,0.0177820361363636
"brier",4,50,0.96,0.0166422466540909,0.0137929203795455
"brier",4,50,0.97,0.0134161672015455,0.0109626330545455
"brier",4,50,0.98,0.00995547405736364,0.00941298253181818
"brier",4,50,0.99,0.00738899520445455,0.00636848664772727
"brier",4,50,0.995,0.00480071456909091,0.00358228876818182
"brier",5,50,0.9,0.0576916710211818,0.0573958535113636
"brier",5,50,0.91,0.053118553775,0.0522885546454545
"brier",5,50,0.92,0.0482069842053636,0.0474168800068182
"brier",5,50,0.93,0.0432163702171818,0.04225860445
"brier",5,50,0.94,0.0379323065602727,0.0372100124636364
"brier",5,50,0.95,0.0323005818366364,0.0320907668886364
"brier",5,50,0.96,0.0263262688470909,0.0258752343022727
"brier",5,50,0.97,0.0202580058382727,0.0200532564022727
"brier",5,50,0.98,0.0142037229728182,0.0136589408340909
"brier",5,50,0.99,0.00796500389809091,0.00785181978409091
"brier",5,50,0.995,0.00449360684790909,0.00402544006818182
"brier",1,60,0.9,0.0893190295409091,0.0896128627795454
"brier",1,60,0.91,0.0811766989724545,0.0812418880954545
"brier",1,60,0.92,0.0729651887441818,0.0724002174068182
"brier",1,60,0.93,0.0646643284799091,0.0641211748
"brier",1,60,0.94,0.0561589556605455,0.0557632858931818
"brier",1,60,0.95,0.0475051582981818,0.0475300931545455
"brier",1,60,0.96,0.0382760593298182,0.0385461110795455
"brier",1,60,0.97,0.0289344456918182,0.0288405462704545
"brier",1,60,0.98,0.0197055168159091,0.0197287316159091
"brier",1,60,0.99,0.00972844052672727,0.00996836704090909
"brier",1,60,0.995,0.00488152960336364,0.00497722659545454
"brier",2,60,0.9,0.0313199205130909,0.0310261570886364
"brier",2,60,0.91,0.0291259530582727,0.02861537665
"brier",2,60,0.92,0.0267916785909091,0.0264407494068182
"brier",2,60,0.93,0.0245666175634545,0.0237766036772727
"brier",2,60,0.94,0.022021079386,0.0218713239386364
"brier",2,60,0.95,0.0188731916008182,0.0189509698909091
"brier",2,60,0.96,0.0156725069349091,0.0161326144454545
"brier",2,60,0.97,0.0123827100082727,0.0118439226681818
"brier",2,60,0.98,0.00904885551636364,0.0100859764159091
"brier",2,60,0.99,0.00633117582936364,0.00621437485227273
"brier",2,60,0.995,0.00383060442163636,0.00348999666818182
"brier",3,60,0.9,0.0660764762908182,0.0660572229068182
"brier",3,60,0.91,0.0617030952466364,0.0616076735931818
"brier",3,60,0.92,0.0568618979876364,0.0567448032409091
"brier",3,60,0.93,0.0519638698161818,0.0518122957772727
"brier",3,60,0.94,0.0465892706525455,0.0460961715
"brier",3,60,0.95,0.04069414665,0.0405550420068182
"brier",3,60,0.96,0.0343564787442727,0.0338629555181818
"brier",3,60,0.97,0.0274314035773636,0.0271870660272727
"brier",3,60,0.98,0.0200163402753636,0.0188494364613636
"brier",3,60,0.99,0.0121792906536364,0.0110839758227273
"brier",3,60,0.995,0.00805594799972727,0.00707760633409091
"brier",4,60,0.9,0.0391113367033636,0.0353302429613636
"brier",4,60,0.91,0.0363695614232727,0.0332256947431818
"brier",4,60,0.92,0.0334616354552727,0.0292016186068182
"brier",4,60,0.93,0.0305790504129091,0.0255316490636364
"brier",4,60,0.94,0.0274460898271818,0.0241786834340909
"brier",4,60,0.95,0.0238054744290909,0.0206963503068182
"brier",4,60,0.96,0.0198057362630909,0.0185659481431818
"brier",4,60,0.97,0.0159217495384545,0.0133973125272727
"brier",4,60,0.98,0.0119102536082727,0.0109944341113636
"brier",4,60,0.99,0.00870824659690909,0.00689274884318182
"brier",4,60,0.995,0.00574219897245455,0.00404149111136364
"brier",5,60,0.9,0.065137738339,0.0645979609522727
"brier",5,60,0.91,0.0599818186567273,0.0595573600954546
