"metric_family","metric","ranking_group","quantile","target_type","target_level","threshold_value","band_type","target_value","prediction_cutoff","ranking_basis","rank","setting","rank_value","score_value","score_se","rel_score_to_gaussian","rel_to_gaussian","gap_to_target","score_direction","method","knots","thresh","CMAQ","TS","ar2","mrts","setting_orig","source","is_baseline","is_proposed","model_lane"
"score","quantile","quantile__q0.9",0.9,"score_quantile",0.9,NA,NA,NA,NA,"rel_to_gaussian",2,18,1.03670293265797,5.22634035674711,0.0195529177707909,1.03670293265797,1.03670293265797,NA,"lower_better","skew-t",1,50,"yes",NA,NA,"140",17,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","quantile","quantile__q0.95",0.95,"score_quantile",0.95,NA,NA,NA,NA,"rel_to_gaussian",1,1,1,3.00132002918319,0.0179520526266386,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","quantile","quantile__q0.95",0.95,"score_quantile",0.95,NA,NA,NA,NA,"rel_to_gaussian",2,18,1.0415097416409,3.12590404817624,0.020180923366909,1.0415097416409,1.0415097416409,NA,"lower_better","skew-t",1,50,"yes",NA,NA,"140",17,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","quantile","quantile__q0.98",0.98,"score_quantile",0.98,NA,NA,NA,NA,"rel_to_gaussian",1,1,1,1.4435089289031,0.0301335869901228,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","quantile","quantile__q0.98",0.98,"score_quantile",0.98,NA,NA,NA,NA,"rel_to_gaussian",2,18,1.04674142662013,1.51098059557894,0.0211856991784771,1.04674142662013,1.04674142662013,NA,"lower_better","skew-t",1,50,"yes",NA,NA,"140",17,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","quantile","quantile__q0.99",0.99,"score_quantile",0.99,NA,NA,NA,NA,"rel_to_gaussian",1,1,1,0.820138747261282,0.0357839009587701,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","quantile","quantile__q0.99",0.99,"score_quantile",0.99,NA,NA,NA,NA,"rel_to_gaussian",2,18,1.03864019249761,0.851829066330203,0.02425024984528,1.03864019249761,1.03864019249761,NA,"lower_better","skew-t",1,50,"yes",NA,NA,"140",17,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","quantile","quantile__q0.995",0.995,"score_quantile",0.995,NA,NA,NA,NA,"rel_to_gaussian",1,1,1,0.468837295899911,0.035098055500918,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","quantile","quantile__q0.995",0.995,"score_quantile",0.995,NA,NA,NA,NA,"rel_to_gaussian",2,18,1.016537075894,0.476590493844145,0.0236698492197013,1.016537075894,1.016537075894,NA,"lower_better","skew-t",1,50,"yes",NA,NA,"140",17,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"scalar","crps","crps",NA,"scalar",NA,NA,NA,NA,NA,"rel_to_gaussian",1,1,1,4.14838675546405,0.0186179849993819,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"scalar","crps","crps",NA,"scalar",NA,NA,NA,NA,NA,"rel_to_gaussian",2,12,1.13839233322422,4.72249167766918,0.00819363989933475,1.13839233322422,1.13839233322422,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"120",11,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"scalar","mspe","mspe",NA,"scalar",NA,NA,NA,NA,NA,"rel_to_gaussian",1,1,1,58.5142765877551,1.2193066145487,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"scalar","mspe","mspe",NA,"scalar",NA,NA,NA,NA,NA,"rel_to_gaussian",2,12,1.2721328908689,74.4379358326834,0.699440409519873,1.2721328908689,1.2721328908689,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"120",11,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"scalar","mape","mape",NA,"scalar",NA,NA,NA,NA,NA,"rel_to_gaussian",1,1,1,12.6084989041728,0.430597248794728,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"scalar","mape","mape",NA,"scalar",NA,NA,NA,NA,NA,"rel_to_gaussian",2,12,1.12914375345104,14.2368077780409,0.364089908294065,1.12914375345104,1.12914375345104,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"120",11,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"split_score","brier_split","brier_split__all__q0.9",0.9,"threshold_quantile",0.9,73.25,"all",NA,NA,"rel_to_gaussian",1,1,1,0.045044881630345,0.00123137598059925,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"split_score","brier_split","brier_split__all__q0.9",0.9,"threshold_quantile",0.9,73.25,"all",NA,NA,"rel_to_gaussian",2,11,1.14511244718763,0.0515814546370013,0.00149468316413312,1.14511244718763,1.14511244718763,NA,"lower_better","skew-t",1,50,"yes",NA,NA,"100",10,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"split_score","brier_split","brier_split__below_threshold__q0.9",0.9,"threshold_quantile",0.9,73.25,"below_threshold",NA,NA,"rel_to_gaussian",1,1,1,0.0180706832532135,0.000880078976855245,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"split_score","brier_split","brier_split__below_threshold__q0.9",0.9,"threshold_quantile",0.9,73.25,"below_threshold",NA,NA,"rel_to_gaussian",2,2,1.02160359187678,0.0184610749191506,0.00136731242519035,1.02160359187678,1.02160359187678,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"20",1,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"split_score","brier_split","brier_split__above_threshold__q0.9",0.9,"threshold_quantile",0.9,73.25,"above_threshold",NA,NA,"rel_to_gaussian",1,16,0.781595517999468,0.226516972264235,0.00760999866561864,0.781595517999468,0.781595517999468,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"200",15,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"split_score","brier_split","brier_split__above_threshold__q0.9",0.9,"threshold_quantile",0.9,73.25,"above_threshold",NA,NA,"rel_to_gaussian",2,14,0.801352468961363,0.232242804373042,0.000382791094086038,0.801352468961363,0.801352468961363,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"160",13,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"split_score","brier_split","brier_split__all__q0.95",0.95,"threshold_quantile",0.95,79.75,"all",NA,NA,"rel_to_gaussian",1,1,1,0.0270301315668394,0.00205895451591001,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"split_score","brier_split","brier_split__all__q0.95",0.95,"threshold_quantile",0.95,79.75,"all",NA,NA,"rel_to_gaussian",2,6,1.17902292140258,0.0318691446858311,0.00194171218437242,1.17902292140258,1.17902292140258,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"100",5,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"split_score","brier_split","brier_split__below_threshold__q0.95",0.95,"threshold_quantile",0.95,79.75,"below_threshold",NA,NA,"rel_to_gaussian",1,2,0.923233510461815,0.00778442753921781,0.000809338316574976,0.923233510461815,0.923233510461815,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"20",1,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
