"mrts_k","quantile","n_pairs","n_improved_rel_brier","mean_delta_rel_brier","mean_improve_rel_brier_pct","mean_delta_abs_brier","mean_improve_abs_brier_pct","mean_delta_rel_quant","mean_improve_rel_quant_pct","mean_delta_abs_quant","mean_improve_abs_quant_pct"
10,0.98,3,3,-0.00251823243547411,0.254663020832051,-3.25157593694386e-05,0.25466302083205,-0.00339140426287784,0.33816438192328,-0.00489552233498425,0.338164381923284
10,0.99,3,3,-0.00331342372313281,0.340605590254985,-2.40671550140618e-05,0.340605590254985,-0.00264536606220422,0.266663571864724,-0.00216956720830371,0.266663571864728
10,0.995,3,3,-0.00224843546669007,0.2304521874975,-9.06161917272743e-06,0.230452187497502,-0.00109841450073478,0.113692707697775,-0.000514977684301754,0.113692707697777
15,0,3,1,41.0691536976045,-366.282549320653,0.00587240161462496,-366.282549320653,NA,NA,0,NA
15,0.1,3,2,0.0867006852934594,-3.19874184600287,0.00335308982491702,-3.19874184600287,0.0224857670746864,-1.68545939361808,0.0989036742838545,-1.68545939361808
15,0.2,3,2,0.0289182575594812,-1.02748410160501,0.00182926996413435,-1.02748410160501,0.0300790065314563,-2.44868929377764,0.218153048747509,-2.44868929377763
15,0.3,3,2,0.0148247926125628,-0.541854978297278,0.00117043932533433,-0.541854978297275,0.0353272818360477,-2.98800161057984,0.32528550734297,-2.98800161057985
15,0.4,3,2,0.0127346635366578,-0.584268791862729,0.00113698660837173,-0.584268791862732,0.0383863098404232,-3.33051552263152,0.399858823108728,-3.33051552263151
15,0.5,3,2,0.00827891772263478,-0.423718905117521,0.000783040608601853,-0.423718905117528,0.0425540592570058,-3.78589895600892,0.464462789891019,-3.78589895600892
15,0.6,3,2,0.00719099971915305,-0.434245457413189,0.000680142509963492,-0.434245457413187,0.0485009772845949,-4.43061518046338,0.51928181772104,-4.43061518046339
15,0.7,3,0,0.00476913793154447,-0.356967599882048,0.000412520027008335,-0.356967599882046,0.0562912415597886,-5.27237212324869,0.548923706347577,-5.27237212324869
15,0.8,3,1,0.00268477202579291,-0.213951188100916,0.000192080584251413,-0.213951188100917,0.0680679916977697,-6.53064680406097,0.540582333722388,-6.53064680406097
