"setting","metric","quantile","target_type","target_level","threshold_value","score_mean","score_se","rel_to_gaussian","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
3,"brier",0.95,"threshold_quantile",0.95,79.75,0.0269511911426042,0.00212480392913418,0.997079539770645,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.98,"threshold_quantile",0.98,88.5,0.012833006120031,0.000698438771527216,0.993871675851858,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.99,"threshold_quantile",0.99,94.75,0.00716202997168336,0.000581918980602258,0.986025976069817,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.995,"threshold_quantile",0.995,100.52,0.00399145806710186,4.93266042361443e-05,0.990389875232073,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0,"score_quantile",0,NA,0,0,NA,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.1,"score_quantile",0.1,NA,4.39704916521082,0.0110289764187548,0.999669871324639,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.2,"score_quantile",0.2,NA,7.24911116546285,0.00164261176755875,0.999509579834366,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.3,"score_quantile",0.3,NA,9.20384094556496,0.00155622453802984,0.999573223270921,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.4,"score_quantile",0.4,NA,10.4136204303867,0.025775156257847,0.999703988756778,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.5,"score_quantile",0.5,NA,10.9110137557414,0.0548773374554683,0.999666573989207,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.6,"score_quantile",0.6,NA,10.7059026939859,0.0641414406142236,0.999932456042655,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.7,"score_quantile",0.7,NA,9.75148147803419,0.0444835837551523,0.999998712204006,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.8,"score_quantile",0.8,NA,7.94028179411814,0.0175321490859908,0.999808912581935,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.9,"score_quantile",0.9,NA,5.03747399712526,0.0150096513086733,0.999239182589026,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.95,"score_quantile",0.95,NA,2.99607118318478,0.0174789797155734,0.998251154176372,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.98,"score_quantile",0.98,NA,1.43669041021891,0.0288409941234219,0.99527642777425,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.99,"score_quantile",0.99,NA,0.812597903084562,0.0333542062321428,0.990805404327132,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"quantile",0.995,"score_quantile",0.995,NA,0.461609859924542,0.0323481316622115,0.984584340796743,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0,"threshold_quantile",0,2,0.00103926300956871,0.000342412832725198,7.26817664614688,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.1,"threshold_quantile",0.1,28.875,0.0657961162553088,0.00390681515754439,1.70128707158168,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.2,"threshold_quantile",0.2,36,0.0874715084597138,0.00509095486278351,1.38280497703977,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.3,"threshold_quantile",0.3,41.625,0.0950664744996272,0.00518788071584338,1.20411262536986,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.4,"threshold_quantile",0.4,46.5,0.0969716537355961,0.00278687463649696,1.08611779050291,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.5,"threshold_quantile",0.5,50.875,0.0966623743127536,0.00204366984495248,1.02199021994366,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.6,"threshold_quantile",0.6,55.429,0.0950915709948971,7.55637694584144e-06,1.00538262246662,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.7,"threshold_quantile",0.7,60.125,0.0865848229373898,0.000159089634086451,1.00100585748876,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.8,"threshold_quantile",0.8,65.5,0.0715901144104232,0.00148176599998723,1.0006380251366,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.9,"threshold_quantile",0.9,73.25,0.04497923967697,0.0012467169029432,0.998542743348431,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.95,"threshold_quantile",0.95,79.75,0.0269937780348728,0.00209924515832036,0.998655073806182,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.98,"threshold_quantile",0.98,88.5,0.0127191685494234,0.000751979768894927,0.985055352067979,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.99,"threshold_quantile",0.99,94.75,0.00702447491398375,0.000662543544474707,0.967088208346441,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.995,"threshold_quantile",0.995,100.52,0.00392753665466667,9.57402422302274e-05,0.974529225158324,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0,"score_quantile",0,NA,0,0,NA,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.1,"score_quantile",0.1,NA,4.84824024999977,0.166826400248536,1.1022482407553,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.2,"score_quantile",0.2,NA,7.53868016467203,0.139830441468872,1.03943543862262,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.3,"score_quantile",0.3,NA,9.39834909726727,0.0957632958999586,1.02069757138813,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.4,"score_quantile",0.4,NA,10.5406208064474,0.0324051581155844,1.01189598128907,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.5,"score_quantile",0.5,NA,10.9923608213938,0.0252269632050055,1.00711958836947,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.6,"score_quantile",0.6,NA,10.747493044841,0.0564778604937635,1.00381699925839,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.7,"score_quantile",0.7,NA,9.7731581831582,0.0512669107489039,1.00222162338501,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.8,"score_quantile",0.8,NA,7.95095834703328,0.0287234356371,1.00115326194345,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.9,"score_quantile",0.9,NA,5.04757061270062,0.0242458213562657,1.00124195896071,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.95,"score_quantile",0.95,NA,3.00104330043299,0.0243137478730717,0.999907797653196,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.98,"score_quantile",0.98,NA,1.43598905353813,0.0328620983018024,0.994790558468741,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.99,"score_quantile",0.99,NA,0.807937408398046,0.0329107073332144,0.985122835734832,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.995,"score_quantile",0.995,NA,0.452704396566666,0.0297574464782209,0.965589556389112,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0,"threshold_quantile",0,2,0.00150038890887762,0.000165246730032108,10.4931009063506,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.1,"threshold_quantile",0.1,28.875,0.0844631790954308,0.00125255598965432,2.18396043411073,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.2,"threshold_quantile",0.2,36,0.127115455767155,0.000697468356969127,2.00952159153008,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.3,"threshold_quantile",0.3,41.625,0.153654143325312,0.000268295289969897,1.94618444506559,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.4,"threshold_quantile",0.4,46.5,0.166266599219779,0.00135556959904014,1.86224638255014,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.5,"threshold_quantile",0.5,50.875,0.163229942290558,0.000537897669402335,1.7257946104569,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.6,"threshold_quantile",0.6,55.429,0.149993800745862,0.00117094772260633,1.58585202841694,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
