"band_type","event_quantile","event_threshold_value","score_mean","score_se","rel_to_gaussian","n_obs_total","n_obs_mean_per_fold","obs_share","score_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
"all",0.98,88.5,0.013058693206416,0.000349439543000114,1.01135035548978,23985,11992.5,1,"lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"below_threshold",0.98,88.5,0.00280993258589198,2.49358019723841e-05,1.26900517587894,23508,11754,0.980112570356473,"lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"above_threshold",0.98,88.5,0.518132027698997,0.000240636916387926,0.959570784298948,477,238.5,0.0198874296435272,"lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"all",0.99,94.75,0.00701081640321492,0.000522959012200497,0.96520778527285,23985,11992.5,1,"lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"below_threshold",0.99,94.75,0.0013927806022291,0.000144692895158393,1.85126241385068,23746,11873,0.990035438815927,"lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"above_threshold",0.99,94.75,0.564636935940871,0.0261109260263416,0.864119362442844,239,119.5,0.00996456118407338,"lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"all",0.995,100.52,0.00387404344902041,9.82360838457862e-05,0.961256098302145,23985,11992.5,1,"lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"below_threshold",0.995,100.52,0.000734309352978255,8.69417652111834e-05,3.17092608859722,23865,11932.5,0.994996873045654,"lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"above_threshold",0.995,100.52,0.629053346051168,0.0230528815350389,0.82696573866657,120,60,0.00500312695434647,"lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"all",0.9,73.25,0.044858337114828,0.00122637546108124,0.995858696731676,23985,11992.5,1,"lower_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
