"uncertainty_family","summary_draws_used","n_obs_total","pit_mean","pit_mean_se","pit_mean_target","pit_mean_gap","pit_variance","pit_variance_se","pit_variance_target","pit_variance_gap","pit_ks_stat","pit_ks_se","pit_uniformity_mae","pit_uniformity_mae_se","pit_uniformity_rmse","pit_uniformity_rmse_se","coverage_direction","pit_direction","coverage_80_target","coverage_80_mean","coverage_80_se","coverage_80_gap","coverage_90_target","coverage_90_mean","coverage_90_se","coverage_90_gap","coverage_95_target","coverage_95_mean","coverage_95_se","coverage_95_gap","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
"coverage_pit",400,23985,0.50138231074598,0.0208640841860866,0.5,0.00138231074597983,0.0777295644437836,0.000778040979405835,0.0833333333333333,-0.00560376888954971,0.0467027114010735,0.000503661638632857,0.00910415041197737,0.0003386256974654,0.0111668846906286,0.000309380665194083,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.817845508674466,0.00272506189610466,0.0178455086744659,0.9,0.901106032263822,0.00313153864041588,0.00110603226382178,0.95,0.940505834666875,0.00360494277723583,-0.00949416533312508,11,"skew-t",10,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"coverage_pit",400,23985,0.508763116861548,0.0249046750864393,0.5,0.00876311686154774,0.0782494639329697,0.000973777101124978,0.0833333333333333,-0.00508386940036368,0.0485688639377061,0.0128664949020038,0.00915741197561653,0.00216375164862287,0.0110775075769945,0.0021732393476897,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.815217568155803,0.000736420341321598,0.0152175681558027,0.9,0.9031051869574,0.00245453630674936,0.00310518695740003,0.95,0.945548605619873,0.00185491192617976,-0.00445139438012654,12,"skew-t",10,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"coverage_pit",400,23985,0.465064054348797,0.0165173826771257,0.5,-0.0349359456512026,0.0966802762287573,0.000690469006681099,0.0833333333333333,0.0133469428954239,0.0777625456163841,0.0174618454413403,0.0161635754283916,0.00259518333036712,0.0253234582034824,0.00463109604176398,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.723157297082028,0.0080254986168965,-0.0768427029179718,0.9,0.835059772200307,0.0101515306253991,-0.0649402277996927,0.95,0.898600056670824,0.00862675003085106,-0.0513999433291756,13,"t",10,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"coverage_pit",400,23985,0.733713682815724,0.216368629429004,0.5,0.233713682815724,0.0574724219729589,0.045623919349863,0.0833333333333333,-0.0258609113603744,0.411843626259418,0.342291574207366,0.0868797617322248,0.0632127613985578,0.139443228469955,0.11161735110212,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.421449675481934,0.274496270464012,-0.378550324518066,0.9,0.521854938209027,0.298965882611794,-0.378145061790973,0.95,0.601111770685414,0.2962022099619,-0.348888229314586,14,"skew-t",10,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"coverage_pit",400,23985,0.50154954099198,0.0207510341518062,0.5,0.00154954099197968,0.0785988745630785,0.00102728033238925,0.0833333333333333,-0.00473445877025479,0.0444387332443721,0.00200187402956847,0.00856367244964394,3.51439211154214e-05,0.0104555456529647,0.000170569669695992,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.813760778783284,0.00580879078628516,0.0137607787832844,0.9,0.898646896458849,0.00509017394488764,-0.00135310354115059,0.95,0.939671948767973,0.00352124442522039,-0.0103280512320272,15,"skew-t",15,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"coverage_pit",400,23985,0.507070929315787,0.0259733734265649,0.5,0.00707092931578734,0.0779877380798431,0.000729056377351198,0.0833333333333333,-0.00534559525349027,0.0494682714096943,0.00955669316478264,0.00956786619077191,0.00163660159284066,0.0114844062451277,0.00190550425085336,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.816593099726383,0.0016114514114014,0.016593099726383,0.9,0.906024272584663,0.000869117429507571,0.00602427258466265,0.95,0.946966565214877,0.000770369018681105,-0.00303343478512264,16,"skew-t",15,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"coverage_pit",400,23985,0.452209655579561,0.00182343602667434,0.5,-0.0477903444204394,0.0971116062741184,0.000231099324633909,0.0833333333333333,0.013778272940785,0.0947761765266141,0.000378445462216395,0.0189118000220776,5.29411632187345e-05,0.0286934950711574,0.000359082447346448,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.718240527349054,0.000105725880919671,-0.0817594726509456,0.9,0.834937744696434,0.00202149511351812,-0.0650622553035657,0.95,0.90302267759132,0.00011977468841684,-0.0469773224086802,17,"t",15,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"coverage_pit",400,23985,0.947131203158648,0.0278435822043599,0.5,0.447131203158648,0.016564312919624,0.0112988162021704,0.0833333333333333,-0.0667690204137094,0.76133943145446,0.0734707294190916,0.151301728084674,0.0142279876776001,0.252722815948613,0.0233789270779314,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.140572180082058,0.069304363127819,-0.659427819917943,0.9,0.197568536278214,0.0757047369950596,-0.702431463721786,0.95,0.256438609151787,0.0755600561802112,-0.693561390848213,18,"skew-t",15,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"coverage_pit",400,23985,0.581078220631234,0.00293090665058654,0.5,0.0810782206312339,0.0698222465990573,7.09898756477909e-05,0.0833333333333333,-0.013511086734276,0.137839725509455,0.00740929507902499,0.0268888017800246,0.00134325623447904,0.0300891757295887,0.000962038924308425,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.831562870697654,0.00393929813784782,0.0315628706976543,0.9,0.921826364999658,0.00059605742276414,0.0218263649996583,0.95,0.96064209370661,6.86170041008793e-05,0.0106420937066098,19,"t",1,75,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"coverage_pit",400,23985,0.624917113365554,0.0310515636447901,0.5,0.124917113365554,0.0612854721191853,0.00459747616621814,0.0833333333333333,-0.022047861214148,0.196361778758003,0.0430292789663883,0.0383338865246842,0.00869647717234614,0.0443207549465907,0.00965409557684199,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.828512840172005,0.0132809416067731,0.0285128401720049,0.9,0.922656120736891,0.010327125074562,0.0226561207368908,0.95,0.965309489284233,0.00576661307469006,0.015309489284233,20,"t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
