"calibration_type","bin_id","bin_left","bin_right","bin_mid","expected_share","observed_share_mean","observed_share_se","share_gap","count_total","count_mean_per_fold","summary_draws_used","n_obs_total","bin_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.107027570205865,0.00625237640741517,0.0070275702058647,2567,1283.5,400,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.126204286306812,0.00108967432048201,0.026204286306812,3027,1513.5,400,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.146717829357239,0.00301523704249386,0.0467178293572392,3519,1759.5,400,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.162520547554306,0.00614812111436268,0.062520547554306,3898,1949,400,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",10,0.9,1,0.95,0.1,0.144673868667367,0.000304442977611272,0.0446738686673671,3470,1735,400,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",1,0,0.1,0.05,0.1,0.0879764172774926,0.0127076000731915,-0.0120235827225074,2110,1055,400,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.089600509486731,0.00758000436044947,-0.010399490513269,2149,1074.5,400,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.10273267140609,0.00479151945143443,0.00273267140608974,2464,1232,400,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.109236174158655,0.00329302170387442,0.0092361741586548,2620,1310,400,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.115071654550274,0.000707290185909842,0.0150716545502742,2760,1380,400,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.111486173595451,0.000458479234423222,0.0114861735954508,2674,1337,400,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.106608327507302,8.16958493877681e-05,0.00660832750730228,2557,1278.5,400,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.0990177474298505,0.0065919883374247,-0.000982252570149528,2375,1187.5,400,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.0892613981823784,0.00726273285037976,-0.0107386018176216,2141,1070.5,400,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",10,0.9,1,0.95,0.1,0.0890089264057756,0.0134333508302,-0.0109910735942244,2135,1067.5,400,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",1,0,0.1,0.05,0.1,0.0819314876266614,0.0140811917193513,-0.0180685123733386,1965,982.5,400,23985,"closer_to_expected_share_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0833074572446915,0.0143735571029895,-0.0166925427553085,1998,999,400,23985,"closer_to_expected_share_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.094352917558719,0.00608084954171476,-0.00564708244128102,2263,1131.5,400,23985,"closer_to_expected_share_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.103816213062275,0.00354114429508278,0.00381621306227459,2490,1245,400,23985,"closer_to_expected_share_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.10773517328281,0.00312568757805067,0.0077351732828102,2584,1292,400,23985,"closer_to_expected_share_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.114404821175264,4.04568108994183e-05,0.0144048211752637,2744,1372,400,23985,"closer_to_expected_share_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.111193245007949,0.00333538715009082,0.0111932450079487,2667,1333.5,400,23985,"closer_to_expected_share_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.109148189199452,0.0089646723492685,0.00914818919945204,2618,1309,400,23985,"closer_to_expected_share_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.100641464169846,0.012720209581925,0.000641464169846284,2414,1207,400,23985,"closer_to_expected_share_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",10,0.9,1,0.95,0.1,0.0934690316723325,0.0161417043450052,-0.00653096832766747,2242,1121,400,23985,"closer_to_expected_share_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",1,0,0.1,0.05,0.1,0.146542015884351,0.0210832237588927,0.0465420158843514,3515,1757.5,400,23985,"closer_to_expected_share_better",9,"t",5,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0918470984112394,0.00526051182465285,-0.00815290158876056,2203,1101.5,400,23985,"closer_to_expected_share_better",9,"t",5,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0910976930919417,0.00242568775326965,-0.00890230690805838,2185,1092.5,400,23985,"closer_to_expected_share_better",9,"t",5,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.0864287956373478,0.000592959801511944,-0.0135712043626522,2073,1036.5,400,23985,"closer_to_expected_share_better",9,"t",5,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.0890993832041594,0.00541179464035178,-0.0109006167958406,2137,1068.5,400,23985,"closer_to_expected_share_better",9,"t",5,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.0957670911721925,0.0029242483293496,-0.00423290882780764,2297,1148.5,400,23985,"closer_to_expected_share_better",9,"t",5,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.0995644619363049,0.00595772691921729,-0.00043553806369509,2388,1194,400,23985,"closer_to_expected_share_better",9,"t",5,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.100189180177927,0.00416517417642698,0.000189180177927378,2403,1201.5,400,23985,"closer_to_expected_share_better",9,"t",5,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.0995643993580978,0.00579095599725757,-0.000435600641902192,2388,1194,400,23985,"closer_to_expected_share_better",9,"t",5,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",10,0.9,1,0.95,0.1,0.0998998811264378,0.0109609797344231,-0.000100118873562205,2396,1198,400,23985,"closer_to_expected_share_better",9,"t",5,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",1,0,0.1,0.05,0.1,0.0755257007445054,0.0537702618847905,-0.0244742992554946,1811,905.5,400,23985,"closer_to_expected_share_better",10,"skew-t",5,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0483767713700197,0.0352068122135639,-0.0516232286299803,1160,580,400,23985,"closer_to_expected_share_better",10,"skew-t",5,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0466248631727501,0.0330381331569128,-0.0533751368272499,1118,559,400,23985,"closer_to_expected_share_better",10,"skew-t",5,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.0482085611492963,0.0313710184302832,-0.0517914388507036,1156,578,400,23985,"closer_to_expected_share_better",10,"skew-t",5,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.0535871267616704,0.0319150420738318,-0.0464128732383296,1285,642.5,400,23985,"closer_to_expected_share_better",10,"skew-t",5,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.0575877202533867,0.0268300308310311,-0.0424122797466134,1381,690.5,400,23985,"closer_to_expected_share_better",10,"skew-t",5,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.0680119354162865,0.0295856621813111,-0.0319880645837135,1631,815.5,400,23985,"closer_to_expected_share_better",10,"skew-t",5,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.0774741670903211,0.0242108512613639,-0.0225258329096789,1858,929,400,23985,"closer_to_expected_share_better",10,"skew-t",5,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.0991513831911431,0.0162139821742222,-0.000848616808856839,2378,1189,400,23985,"closer_to_expected_share_better",10,"skew-t",5,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",10,0.9,1,0.95,0.1,0.425451770850621,0.282141794207311,0.325451770850621,10207,5103.5,400,23985,"closer_to_expected_share_better",10,"skew-t",5,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",1,0,0.1,0.05,0.1,0.0873923122922873,0.0116233700567284,-0.0126076877077127,2096,1048,400,23985,"closer_to_expected_share_better",11,"skew-t",10,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0918935940191254,0.00753917208030736,-0.00810640598087461,2204,1102,400,23985,"closer_to_expected_share_better",11,"skew-t",10,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.104066744914457,0.00454186369415176,0.0040667449144568,2496,1248,400,23985,"closer_to_expected_share_better",11,"skew-t",10,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.109611236642995,0.0028345424694512,0.0096112366429946,2629,1314.5,400,23985,"closer_to_expected_share_better",11,"skew-t",10,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.10923551708748,0.00154192702329737,0.00923551708748011,2620,1310,400,23985,"closer_to_expected_share_better",11,"skew-t",10,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
