"metric","quantile","target_type","target_level","threshold_value","baseline_setting","proposed_setting","baseline_rel_brier","proposed_rel_brier","delta_rel_brier","baseline_rel_score","proposed_rel_score","delta_rel_score","baseline_rel_quant","proposed_rel_quant","delta_rel_quant","method","knots","thresh","CMAQ","TS","proposed_is_ar2","proposed_is_mrts","proposed_is_prop","proposed_lane"
"brier",0.98,"threshold_quantile",0.98,88.5,54,104,0.986129505465689,0.99119438287508,0.00506487740939066,0.986129505465689,0.99119438287508,0.00506487740939066,NA,NA,NA,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.99,"threshold_quantile",0.99,94.75,54,104,0.96031657085604,0.961751319599505,0.0014347487434645,0.96031657085604,0.961751319599505,0.0014347487434645,NA,NA,NA,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.995,"threshold_quantile",0.995,100.52,54,104,0.965934148957085,0.972193409163886,0.00625926020680101,0.965934148957085,0.972193409163886,0.00625926020680101,NA,NA,NA,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0,"score_quantile",0,NA,54,104,NA,NA,NA,Inf,Inf,NA,Inf,Inf,NA,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.1,"score_quantile",0.1,NA,54,104,NA,NA,NA,0.993999793865866,0.993485343230196,-0.000514450635670349,0.993999793865866,0.993485343230196,-0.000514450635670349,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.2,"score_quantile",0.2,NA,54,104,NA,NA,NA,0.996815708787674,0.996493584103327,-0.000322124684346892,0.996815708787674,0.996493584103327,-0.000322124684346892,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.3,"score_quantile",0.3,NA,54,104,NA,NA,NA,0.998333180703512,0.998168972467061,-0.000164208236450802,0.998333180703512,0.998168972467061,-0.000164208236450802,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.4,"score_quantile",0.4,NA,54,104,NA,NA,NA,0.999038684559752,0.998691891202024,-0.000346793357727471,0.999038684559752,0.998691891202024,-0.000346793357727471,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.5,"score_quantile",0.5,NA,54,104,NA,NA,NA,0.999200208520648,0.998772474495429,-0.000427734025218784,0.999200208520648,0.998772474495429,-0.000427734025218784,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.6,"score_quantile",0.6,NA,54,104,NA,NA,NA,0.999796467678976,0.999403972598923,-0.000392495080052568,0.999796467678976,0.999403972598923,-0.000392495080052568,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.7,"score_quantile",0.7,NA,54,104,NA,NA,NA,0.999871001692001,0.99962992583941,-0.000241075852590478,0.999871001692001,0.99962992583941,-0.000241075852590478,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
