"band_type","event_quantile","event_threshold_value","score_mean","score_se","rel_to_gaussian","n_obs_total","n_obs_mean_per_fold","obs_share","score_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","model_lane"
"all",0.95,79.75,0.0327963700159725,0.000966692566610122,1.21332631825615,23985,11992.5,1,"lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"below_threshold",0.95,79.75,0.0118235439424701,0.00146818236134504,1.40227292567272,22787,11393.5,0.950052115905774,"lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"above_threshold",0.95,79.75,0.430315569374492,0.0261630348226465,1.13168628231822,1198,599,0.0499478840942256,"lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"all",0.98,88.5,0.0155818463456029,0.000465693253996682,1.20675978765395,23985,11992.5,1,"lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"below_threshold",0.98,88.5,0.00278181230342563,0.000541508118092179,1.25630565982074,23508,11754,0.980112570356473,"lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"above_threshold",0.98,88.5,0.645407048342545,0.0269593212121105,1.19528173218798,477,238.5,0.0198874296435272,"lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"all",0.99,94.75,0.00860980273666264,0.000739390983724409,1.18534677748507,23985,11992.5,1,"lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"below_threshold",0.99,94.75,0.00079270611020282,4.75162231305129e-05,1.05365268923157,23746,11873,0.990035438815927,"lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"above_threshold",0.99,94.75,0.783949691593106,0.0622446618495166,1.1997552136009,239,119.5,0.00996456118407338,"lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"all",0.995,100.52,0.00463564219522473,0.000124165829466626,1.15022956978794,23985,11992.5,1,"lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"below_threshold",0.995,100.52,0.000196782045338486,5.71359940386791e-06,0.849752653701806,23865,11932.5,0.994996873045654,"lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"above_threshold",0.995,100.52,0.889246270856507,0.0552560056952169,1.16902040796955,120,60,0.00500312695434647,"lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"all",0.9,73.25,0.0530518037936261,8.24966801810552e-05,1.17775431688308,23985,11992.5,1,"lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"below_threshold",0.9,73.25,0.0278049559050365,0.000786240803754206,1.53867762028821,21603,10801.5,0.900687929956223,"lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"above_threshold",0.9,73.25,0.281984237019593,0.000396335704713896,0.972984997980271,2382,1191,0.0993120700437774,"lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"all",0.95,79.75,0.0325127656310462,0.000881482293545108,1.20283416122668,23985,11992.5,1,"lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"below_threshold",0.95,79.75,0.0130592021352157,0.001171603258554,1.54882205151043,22787,11393.5,0.950052115905774,"lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"above_threshold",0.95,79.75,0.401443874316864,0.0203351534732789,1.05575665399571,1198,599,0.0499478840942256,"lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"all",0.98,88.5,0.0152403247978499,0.000346684047662316,1.18031013199026,23985,11992.5,1,"lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"below_threshold",0.98,88.5,0.00310427732623663,0.000502335954973534,1.40193541088368,23508,11754,0.980112570356473,"lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"above_threshold",0.98,88.5,0.612586174645309,0.0202383937757437,1.13449809050711,477,238.5,0.0198874296435272,"lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"all",0.99,94.75,0.00844758383863984,0.000724272197396196,1.16301343793018,23985,11992.5,1,"lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"below_threshold",0.99,94.75,0.000912332196104253,1.13250934580367e-05,1.2126578305948,23746,11873,0.990035438815927,"lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"above_threshold",0.99,94.75,0.755881679539022,0.0577319260347485,1.15679997787797,239,119.5,0.00996456118407338,"lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"all",0.995,100.52,0.00457505514487606,0.000150605539141292,1.13519626611125,23985,11992.5,1,"lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"below_threshold",0.995,100.52,0.000230170282860043,1.15600909874e-05,0.993931170535325,23865,11932.5,0.994996873045654,"lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"above_threshold",0.995,100.52,0.870536138387097,0.0564876016129032,1.14442370466093,120,60,0.00500312695434647,"lower_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"all",0.9,73.25,0.0519075024722134,0.00107024844870752,1.15235073538844,23985,11992.5,1,"lower_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
