"calibration_type","bin_id","bin_left","bin_right","bin_mid","expected_share","observed_share_mean","observed_share_se","share_gap","count_total","count_mean_per_fold","summary_draws_used","n_obs_total","bin_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","model_lane"
"pit_histogram",1,0,0.1,0.05,0.1,0.0967738180791444,0.0133362920309657,-0.00322618192085559,2321,1160.5,400,23985,"closer_to_expected_share_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0842221628980819,0.00761967894375996,-0.0157778371019181,2020,1010,400,23985,"closer_to_expected_share_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0986895247335357,0.00758341487273721,-0.0013104752664643,2367,1183.5,400,23985,"closer_to_expected_share_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.104899441827424,0.00145691452893253,0.00489944182742386,2516,1258,400,23985,"closer_to_expected_share_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.11703085305861,0.00166548769324464,0.01703085305861,2807,1403.5,400,23985,"closer_to_expected_share_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.114070653549273,0.00170829118691085,0.0140706535492731,2736,1368,400,23985,"closer_to_expected_share_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.111234984672094,0.00321029331406926,0.011234984672094,2668,1334,400,23985,"closer_to_expected_share_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.0997261953125919,0.00746726972033299,-0.000273804687408064,2392,1196,400,23985,"closer_to_expected_share_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.0797135282319078,0.00789170641008601,-0.0202864717680921,1912,956,400,23985,"closer_to_expected_share_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"pit_histogram",10,0.9,1,0.95,0.1,0.0936388376373373,0.00805325205175168,-0.00636116236266271,2246,1123,400,23985,"closer_to_expected_share_better",5,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"80",4,"ozone_prop_us_all_results","proposed"
"pit_histogram",1,0,0.1,0.05,0.1,0.104822501921777,0.01863428820168,0.00482250192177673,2514,1257,400,23985,"closer_to_expected_share_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0885157162664039,0.00549496107760674,-0.0114842837335961,2123,1061.5,400,23985,"closer_to_expected_share_better",6,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"100",5,"ozone_prop_us_all_results","proposed"
