"setting","fold","backend","param","mean","sd","rhat_bulk","rhat_tail","rhat","ess","geweke_z","degenerate","flag"
58,2,"legacy","phi.w",-0.161,0.0575,1.1236,1.0102,1.1236,229.2902,-7.9711,FALSE,"fail"
58,2,"legacy","phi.tau",0.8537,0.0352,1.1904,1.0145,1.1904,136.3528,-5.8847,FALSE,"fail"
58,2,"legacy","mean.log.tau",-4.8433,0.0445,1.0726,1.0155,1.0726,67.2871,2.302,FALSE,"fail"
58,2,"legacy","mean.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
68,1,"legacy","beta[int]",50.3714,0.5706,1.1237,1.0945,1.1237,17.7217,-11.2377,FALSE,"fail"
68,1,"legacy","beta[cmaq]",10.1416,0.2565,1.0741,1.0128,1.0741,50.8338,-3.1963,FALSE,"fail"
68,1,"legacy","tau.alpha",1.0763,0.0853,1.0218,1.0038,1.0218,646.6616,-4.1015,FALSE,"marginal"
68,1,"legacy","tau.beta",98.395,9.9108,1.0222,1.003,1.0222,309.8037,4.125,FALSE,"marginal"
68,1,"legacy","rho",0.2866,0.0379,1.1891,1.0209,1.1891,28.6297,-0.7257,FALSE,"fail"
68,1,"legacy","nu",0.2418,0.0231,1.3685,1.1363,1.3685,13.4641,3.8053,FALSE,"fail"
68,1,"legacy","gamma",0.9731,0.0334,1.1253,1.1314,1.1314,9.4947,-0.5164,FALSE,"fail"
68,1,"legacy","phi.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
68,1,"legacy","phi.w",0.4563,0.0431,1.1552,1.0152,1.1552,117.8382,-10.5211,FALSE,"fail"
68,1,"legacy","phi.tau",0.958,0.0143,1.3626,1.0562,1.3626,14.1845,0.3858,FALSE,"fail"
68,1,"legacy","mean.log.tau",-5.0493,0.047,1.1421,1.0672,1.1421,25.5512,-10.2231,FALSE,"fail"
68,2,"legacy","beta[int]",50.1157,0.6979,1.5955,1.0495,1.5955,10.0878,12.53,FALSE,"fail"
68,2,"legacy","beta[cmaq]",10.2662,0.3174,1.0069,1.0109,1.0109,44.35,0.1251,FALSE,"fail"
68,2,"legacy","tau.alpha",1.1107,0.0907,1.0421,1.0013,1.0421,493.8776,5.971,FALSE,"marginal"
68,2,"legacy","tau.beta",102.8012,10.8401,1.1038,1.0109,1.1038,138.2953,-7.9612,FALSE,"fail"
68,2,"legacy","rho",0.2337,0.0635,1.6762,1.4613,1.6762,6.1737,-3.4803,FALSE,"fail"
68,2,"legacy","nu",0.302,0.0582,1.8022,1.3285,1.8022,5.2071,2.0599,FALSE,"fail"
68,2,"legacy","gamma",0.9395,0.0349,1.2934,1.0189,1.2934,17.8983,-1.6162,FALSE,"fail"
68,2,"legacy","phi.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
68,2,"legacy","phi.w",0.4515,0.0495,1.5092,1.0364,1.5092,16.4393,-6.0292,FALSE,"fail"
68,2,"legacy","phi.tau",0.9868,0.0109,2.1112,1.652,2.1112,5.3757,-16.6774,FALSE,"fail"
68,2,"legacy","mean.log.tau",-5.0407,0.0702,2.0442,1.3919,2.0442,6.2495,6.5591,FALSE,"fail"
111,1,"ar2","beta[int]",49.6038,0.4829,1.0734,1.0115,1.0734,119.9692,0.6075,FALSE,"fail"
111,1,"ar2","beta[cmaq]",8.2469,0.1921,1.0319,1.0014,1.0319,251.192,-1.9519,FALSE,"marginal"
111,1,"ar2","tau.alpha",1.5272,0.1349,1.0011,1.0001,1.0011,392.0914,-0.2428,FALSE,"marginal"
111,1,"ar2","tau.beta",82.4239,11.8388,1.0353,1.0003,1.0353,204.3384,1.8469,FALSE,"marginal"
111,1,"ar2","rho",0.4579,0.0422,1.1507,1.0311,1.1507,62.4404,-2.4255,FALSE,"fail"
111,1,"ar2","nu",0.3353,0.0232,1.1221,1.0147,1.1221,27.1641,1.5364,FALSE,"fail"
111,1,"ar2","gamma",0.873,0.0131,1.0848,1.0117,1.0848,73.022,-1.6475,FALSE,"fail"
111,1,"ar2","lambda",0.3852,20.1485,1,1.0003,1.0003,5000,-0.1146,FALSE,"pass"
111,1,"ar2","phi.z[1]",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
111,1,"ar2","phi.z[2]",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
111,1,"ar2","phi.w[1]",-0.0172,0.0497,1.0239,1.0028,1.0239,577.0965,6.3235,FALSE,"marginal"
111,1,"ar2","phi.w[2]",-0.0541,0.052,1.0449,1.0025,1.0449,748.0719,-0.9824,FALSE,"marginal"
111,1,"ar2","phi.tau[1]",0.0737,0.1153,1.0402,1.0013,1.0402,172.1472,-0.4924,FALSE,"marginal"
111,1,"ar2","phi.tau[2]",-0.015,0.1128,1.0816,1.0052,1.0816,195.93,-2.8635,FALSE,"fail"
111,1,"ar2","mean.log.tau",-4.77,0.0555,1.181,1.0122,1.181,63.538,-2.4879,FALSE,"fail"
111,1,"ar2","mean.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
111,2,"ar2","beta[int]",50.051,0.4384,1.0361,1.0006,1.0361,137.6539,4.4824,FALSE,"marginal"
111,2,"ar2","beta[cmaq]",8.2062,0.1611,1.0174,1.0006,1.0174,336.6171,3.2854,FALSE,"marginal"
111,2,"ar2","tau.alpha",1.6467,0.1558,1.0194,1.0065,1.0194,444.5112,3.2212,FALSE,"marginal"
111,2,"ar2","tau.beta",78.7912,12.1631,1.0366,1.003,1.0366,138.4572,3.4175,FALSE,"marginal"
111,2,"ar2","rho",0.5651,0.0501,1.0161,1.0063,1.0161,89.086,-0.2512,FALSE,"fail"
111,2,"ar2","nu",0.2929,0.0174,1.0403,1.0072,1.0403,62.8299,-1.8818,FALSE,"fail"
111,2,"ar2","gamma",0.8644,0.0128,1.0158,1.0127,1.0158,107.7787,1.2733,FALSE,"marginal"
111,2,"ar2","lambda",0.335,19.7838,1.0001,0.9997,1.0001,5000,1.3436,FALSE,"pass"
111,2,"ar2","phi.z[1]",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
111,2,"ar2","phi.z[2]",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
111,2,"ar2","phi.w[1]",-0.0149,0.0556,1.0771,1.0011,1.0771,327.1895,-11.7285,FALSE,"fail"
111,2,"ar2","phi.w[2]",0.0261,0.0534,1.0001,1.0016,1.0016,760.0974,0.9047,FALSE,"pass"
111,2,"ar2","phi.tau[1]",0.1076,0.1062,1.0122,1.0007,1.0122,248.8331,0.8722,FALSE,"marginal"
111,2,"ar2","phi.tau[2]",0.0842,0.1119,1.0344,1.0029,1.0344,433.5272,-2.0108,FALSE,"marginal"
111,2,"ar2","mean.log.tau",-4.5862,0.056,1.0464,1.0524,1.0524,44.2401,-2.1204,FALSE,"fail"
111,2,"ar2","mean.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
120,1,"ar2","beta[int]",49.5222,0.3929,1.0075,1.0008,1.0075,274.1307,0.0893,FALSE,"marginal"
120,1,"ar2","beta[cmaq]",8.3888,0.1771,1.0072,0.9998,1.0072,315.0347,-0.0335,FALSE,"marginal"
120,1,"ar2","tau.alpha",1.8853,0.1485,1.0013,0.9999,1.0013,607.1221,-2.1183,FALSE,"pass"
120,1,"ar2","tau.beta",100.1188,11.8618,1.0034,1.0009,1.0034,297.4487,-1.514,FALSE,"marginal"
120,1,"ar2","rho",0.4435,0.0376,1.0552,1.0055,1.0552,81.3293,0.1052,FALSE,"fail"
120,1,"ar2","nu",0.3179,0.0226,1.0567,1.0503,1.0567,38.5439,0.657,FALSE,"fail"
120,1,"ar2","gamma",0.8759,0.0152,1.0455,1.046,1.046,71.7481,-0.4662,FALSE,"fail"
120,1,"ar2","lambda",0.144,19.7529,1.0001,1.0003,1.0003,5000,0.0564,FALSE,"pass"
120,1,"ar2","phi.z[1]",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
120,1,"ar2","phi.z[2]",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
120,1,"ar2","phi.w[1]",-0.0796,0.0469,1.0087,1.0029,1.0087,896.4871,-0.0641,FALSE,"pass"
120,1,"ar2","phi.w[2]",-0.0237,0.0465,1.0277,1.0033,1.0277,887.7975,-4.9627,FALSE,"marginal"
120,1,"ar2","phi.tau[1]",0.0498,0.0986,1.0117,1.0052,1.0117,270.009,-1.9434,FALSE,"marginal"
120,1,"ar2","phi.tau[2]",0.0257,0.0849,1.0042,1.0026,1.0042,505.0332,-0.7558,FALSE,"pass"
120,1,"ar2","mean.log.tau",-4.5908,0.036,1.0398,1.0001,1.0398,153.603,-0.4523,FALSE,"marginal"
120,1,"ar2","mean.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
120,2,"ar2","beta[int]",50.4836,0.3925,1.0149,1.001,1.0149,274.3213,1.9658,FALSE,"marginal"
120,2,"ar2","beta[cmaq]",8.322,0.1736,1.0257,1.0001,1.0257,287.7368,3.9802,FALSE,"marginal"
120,2,"ar2","tau.alpha",1.9451,0.1657,1.0226,1.0041,1.0226,364.0438,-5.7381,FALSE,"marginal"
120,2,"ar2","tau.beta",92.7268,11.388,1.0023,1.0074,1.0074,268.8878,-2.0086,FALSE,"marginal"
120,2,"ar2","rho",0.5423,0.0497,1.0071,1.0027,1.0071,94.9684,0.9745,FALSE,"fail"
120,2,"ar2","nu",0.2781,0.0182,1.0333,1.0214,1.0333,46.6101,-0.2028,FALSE,"fail"
120,2,"ar2","gamma",0.8652,0.0151,1.0111,1.0184,1.0184,69.5176,2.1937,FALSE,"fail"
120,2,"ar2","lambda",-0.601,20.083,1.0001,1.0001,1.0001,5000,-0.6747,FALSE,"pass"
120,2,"ar2","phi.z[1]",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
120,2,"ar2","phi.z[2]",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
120,2,"ar2","phi.w[1]",0.026,0.0442,1.0302,1.0002,1.0302,1107.8687,-3.7498,FALSE,"marginal"
120,2,"ar2","phi.w[2]",0.0231,0.0466,1.0181,1.0015,1.0181,580.9547,-4.7409,FALSE,"marginal"
120,2,"ar2","phi.tau[1]",0.0987,0.0938,1.0731,1.0062,1.0731,182.993,0.319,FALSE,"fail"
120,2,"ar2","phi.tau[2]",0.0187,0.0956,1.1111,1.0097,1.1111,155.6587,12.2308,FALSE,"fail"
120,2,"ar2","mean.log.tau",-4.461,0.0497,1.2087,1.0134,1.2087,59.3593,-3.9433,FALSE,"fail"
120,2,"ar2","mean.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
124,1,"ar2","beta[int]",50.5229,0.6282,1.5469,1.0067,1.5469,9.9727,3.3087,FALSE,"fail"
124,1,"ar2","beta[cmaq]",10.4708,0.2711,1.3194,1.0263,1.3194,17.0775,-6.1673,FALSE,"fail"
124,1,"ar2","tau.alpha",2.0518,0.158,1.0601,1.0014,1.0601,112.7854,-5.3064,FALSE,"fail"
124,1,"ar2","tau.beta",137.0407,16.079,1.1199,1.0252,1.1199,64.6784,-9.3632,FALSE,"fail"
124,1,"ar2","rho",0.3755,0.0599,1.5362,1.1636,1.5362,9.7696,3.0577,FALSE,"fail"
124,1,"ar2","nu",0.2343,0.0201,1.5895,1.2512,1.5895,17.5842,-10.4293,FALSE,"fail"
124,1,"ar2","gamma",0.9802,0.0163,1.0331,1.0489,1.0489,24.3725,1.2636,FALSE,"fail"
124,1,"ar2","phi.z[1]",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
124,1,"ar2","phi.z[2]",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
124,1,"ar2","phi.w[1]",0.0646,0.0392,1.0197,1.0038,1.0197,987.0077,-2.5831,FALSE,"marginal"
124,1,"ar2","phi.w[2]",0.0105,0.0387,1.0086,1.0011,1.0086,858.2337,-2.5554,FALSE,"pass"
124,1,"ar2","phi.tau[1]",0.0239,0.0938,1.0701,1.0062,1.0701,73.3904,1.2007,FALSE,"fail"
124,1,"ar2","phi.tau[2]",-0.0107,0.085,1.0531,1.0125,1.0531,82.7182,-0.5567,FALSE,"fail"
124,1,"ar2","mean.log.tau",-4.7633,0.0529,1.0409,1.0182,1.0409,49.5926,4.401,FALSE,"fail"
124,2,"ar2","beta[int]",53.4124,0.4965,1.1595,1.0481,1.1595,16.5289,2.4787,FALSE,"fail"
124,2,"ar2","beta[cmaq]",9.5365,0.2719,1.0652,1.0112,1.0652,36.5136,0.1378,FALSE,"fail"
124,2,"ar2","tau.alpha",2.2284,0.1673,1.0383,1.0088,1.0383,331.0691,0.9023,FALSE,"marginal"
124,2,"ar2","tau.beta",123.0268,12.6977,1.0375,1.0007,1.0375,197.3903,0.5987,FALSE,"marginal"
124,2,"ar2","rho",0.2862,0.0643,1.5511,1.0742,1.5511,8.02,2.5966,FALSE,"fail"
124,2,"ar2","nu",0.2617,0.0402,1.3114,1.1204,1.3114,7.7777,-0.7824,FALSE,"fail"
124,2,"ar2","gamma",0.9543,0.0265,1.0468,1.0412,1.0468,28.8309,-1.2377,FALSE,"fail"
124,2,"ar2","phi.z[1]",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
124,2,"ar2","phi.z[2]",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
124,2,"ar2","phi.w[1]",-0.0624,0.0383,1.012,1.0009,1.012,998.0524,1.1765,FALSE,"marginal"
124,2,"ar2","phi.w[2]",-0.0472,0.0391,1.0211,1.0019,1.0211,1032.1328,-1.0102,FALSE,"marginal"
124,2,"ar2","phi.tau[1]",0.1056,0.1012,1.0218,1.0089,1.0218,109.4903,-3.8868,FALSE,"marginal"
124,2,"ar2","phi.tau[2]",-0.0043,0.0824,1.0154,1.0053,1.0154,225.5982,0.657,FALSE,"marginal"
124,2,"ar2","mean.log.tau",-4.5239,0.0599,1.1508,1.0435,1.1508,23.8428,0.2599,FALSE,"fail"
204,1,"legacy","beta[int]",49.1139,0.4558,1.0003,0.9999,1.0003,2817.4585,-1.3046,FALSE,"pass"
204,1,"legacy","beta[cmaq]",7.4987,0.142,0.9999,0.9997,0.9999,1559.3789,0.0167,FALSE,"pass"
204,1,"legacy","beta[mrts1]",-1.2762,0.4308,0.9999,1,1,3388.043,0.414,FALSE,"pass"
204,1,"legacy","beta[mrts2]",2.7972,0.297,1.0006,0.9997,1.0006,5000,-2.1823,FALSE,"pass"
204,1,"legacy","beta[mrts3]",2.2517,0.3424,1.0002,1.0001,1.0002,3845.3495,1.2619,FALSE,"pass"
204,1,"legacy","beta[mrts4]",1.2818,0.2925,1.0006,0.9997,1.0006,4195.5396,-2.7543,FALSE,"pass"
204,1,"legacy","beta[mrts5]",-1.6763,0.3237,0.9999,0.9999,0.9999,4304.7534,2.8846,FALSE,"pass"
204,1,"legacy","beta[mrts6]",-1.7625,0.2729,0.9996,0.9998,0.9998,4438.322,-0.5669,FALSE,"pass"
204,1,"legacy","beta[mrts7]",-2.4544,0.2854,1.0008,0.9999,1.0008,5000,1.1295,FALSE,"pass"
204,1,"legacy","beta[mrts8]",-0.4812,0.2514,1.0006,0.9999,1.0006,4663.8034,-2.1565,FALSE,"pass"
204,1,"legacy","beta[mrts9]",0.3861,0.2716,1.0001,1.0002,1.0002,5000,-0.9648,FALSE,"pass"
204,1,"legacy","tau.alpha",0.4151,0.0833,1.0003,0.9998,1.0003,2342.5267,-0.6065,FALSE,"pass"
204,1,"legacy","tau.beta",11.2966,3.7286,1.0003,1.0003,1.0003,2461.3762,-0.9531,FALSE,"pass"
204,1,"legacy","rho",0.3266,0.0284,1.02,1.0272,1.0272,67.7718,2.313,FALSE,"fail"
204,1,"legacy","nu",0.383,0.0276,1.0305,1.0647,1.0647,53.7183,-2.0276,FALSE,"fail"
204,1,"legacy","gamma",0.8103,0.0138,1.0287,1.0284,1.0287,83.1044,2.6118,FALSE,"fail"
204,1,"legacy","lambda",-0.1214,20.0658,1,0.9998,1,4687.5788,1.2329,FALSE,"pass"
204,1,"legacy","phi.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
204,1,"legacy","phi.w",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
204,1,"legacy","phi.tau",0.9973,0.0011,1.0031,1.0038,1.0038,573.3115,0.666,FALSE,"pass"
204,1,"legacy","mean.log.tau",-4.9245,0.0281,1.0006,1.0104,1.0104,133.6574,-0.8611,FALSE,"marginal"
204,1,"legacy","mean.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
204,2,"legacy","beta[int]",49.4112,0.4937,0.9998,1,1,4568.9075,1.8351,FALSE,"pass"
