"score","method","mrts_k","quantile","mean","median","rel_mean","rel_median"
"brier",1,8,0.92,0.0275541138759091,0.0273295154545455,1,1
"brier",1,8,0.93,0.0248302616027273,0.0252400462,1,1
"brier",1,8,0.94,0.0218030402690909,0.0225367782181818,1,1
"brier",1,8,0.95,0.0189303412595455,0.0203411055681818,1,1
"brier",1,8,0.96,0.0160045693095455,0.0177234019613636,1,1
"brier",1,8,0.97,0.0131254237227273,0.0148123229954545,1,1
"brier",1,8,0.98,0.00896650134909091,0.00854690453636364,1,1
"brier",1,8,0.99,0.00442661398727273,0.004789065975,1,1
"brier",1,8,0.995,0.00271710742727273,0.00275592850227273,1,1
"brier",2,8,0.9,0.0338483026268182,0.0325998472772727,0.997588033346301,0.98031710726687
"brier",2,8,0.91,0.0308432489495455,0.0308341449795455,0.99939178635825,0.991115762442191
"brier",2,8,0.92,0.0274731871172727,0.0270901004477273,0.997062988162101,0.991239690757914
"brier",2,8,0.93,0.0246920946104545,0.0247966330659091,0.994435540209631,0.982432158381275
"brier",2,8,0.94,0.0217345847859091,0.0221644985886364,0.996860278092553,0.98348124004499
"brier",2,8,0.95,0.0187469446504545,0.0198374933977273,0.990312028368827,0.97524165199544
"brier",2,8,0.96,0.0158389125640909,0.0176405803795455,0.989649409349882,0.995326992978056
"brier",2,8,0.97,0.0129172456490909,0.0146788871227273,0.984139325477478,0.990991563391629
"brier",2,8,0.98,0.008785922005,0.00841509677727273,0.979860668385533,0.984578304515966
"brier",2,8,0.99,0.00432919933954545,0.00466955708409091,0.977993417088692,0.975045469923999
"brier",2,8,0.995,0.00263386324772727,0.00266115188409091,0.969362941372911,0.96560991400769
"brier",3,8,0.9,0.03257024591,0.0321433112318182,0.959920735795448,0.966588512416824
"brier",3,8,0.91,0.0298062837622727,0.0294553444340909,0.965791743360345,0.94679635761451
"brier",3,8,0.92,0.0266356638068182,0.026086819925,0.966667406789883,0.954529178111031
"brier",3,8,0.93,0.0239658380127273,0.0240330290545455,0.96518669018352,0.952178489060985
"brier",3,8,0.94,0.0210126183018182,0.0212444986318182,0.96374716748135,0.942659080466032
"brier",3,8,0.95,0.0180534573322727,0.0190966759954545,0.953678387766488,0.938821930373645
"brier",3,8,0.96,0.0151604424813636,0.0166843171704545,0.947257135643234,0.941372159071139
"brier",3,8,0.97,0.0123744154595455,0.0139084620545455,0.942782170004812,0.93897912291094
"brier",3,8,0.98,0.00845661104954545,0.00807809028636364,0.943133862395822,0.945148065243342
"brier",3,8,0.99,0.00422643561818182,0.00434100829090909,0.954778444728531,0.906441530262922
"brier",3,8,0.995,0.00255956594772727,0.00257615892954545,0.942018678406254,0.934769870633791
"brier",4,8,0.9,0.0312419517177273,0.0299914275272727,0.920772823252123,0.901878748887184
"brier",4,8,0.91,0.0285603293627273,0.0270925486522727,0.925419972049236,0.870847952223492
"brier",4,8,0.92,0.0255725140118182,0.0245191451863636,0.928083339097199,0.897167212025547
"brier",4,8,0.93,0.0227192474681818,0.0218098458863636,0.914982203235684,0.864096908283933
"brier",4,8,0.94,0.0193752439386364,0.0185687215295455,0.888648725109392,0.823929727212069
"brier",4,8,0.95,0.0164051871990909,0.0160527582431818,0.866608106751311,0.789178257267001
"brier",4,8,0.96,0.013642192765,0.0134456683227273,0.852393619668573,0.758639247252776
"brier",4,8,0.97,0.0110608809509091,0.0112179714727273,0.842706581103105,0.757340457413042
"brier",4,8,0.98,0.00744434034727273,0.00656000058863636,0.830239137590437,0.767529409124228
"brier",4,8,0.99,0.00364749644363636,0.00356282439545455,0.823992436233098,0.743949741777058
"brier",4,8,0.995,0.00214718724863636,0.00218800710681818,0.790247462093019,0.79392738418787
"brier",5,8,0.9,0.0315475471095455,0.0314135324136364,0.929779428672923,0.944643174639632
"brier",5,8,0.91,0.0287775579122727,0.0285201599795455,0.932458673728601,0.916736303920601
"brier",5,8,0.92,0.0256584103190909,0.0250988430363636,0.931200706894239,0.918378632731638
"brier",5,8,0.93,0.0229586937681818,0.0224529055659091,0.924625528941673,0.889574661947691
"brier",5,8,0.94,0.0199224778681818,0.0198109707318182,0.913747698591601,0.879050702812323
"brier",5,8,0.95,0.017090616335,0.0181903495772727,0.902816071864643,0.894265531256405
"brier",5,8,0.96,0.0142138203559091,0.0153209343045455,0.888110144109387,0.864446585251778
"brier",5,8,0.97,0.0115323292290909,0.0127689257386364,0.878625290330411,0.862047481853776
"brier",5,8,0.98,0.00782758012227273,0.00726069858181818,0.872980420960551,0.849512071993648
"brier",5,8,0.99,0.00389887830590909,0.0040659471,0.880781183342174,0.84900628248288
"brier",5,8,0.995,0.00238725078863636,0.002494703325,0.878600074724519,0.905213369266545
"brier",1,10,0.9,0.0339401686809091,0.0332617649227273,1,1
"brier",1,10,0.91,0.0308613843563636,0.0311475488204545,1,1
"brier",1,10,0.92,0.0275603053031818,0.0273459506590909,1,1
"brier",1,10,0.93,0.0248380565136364,0.0252571324,1,1
"brier",1,10,0.94,0.0218082694663636,0.0225688167090909,1,1
"brier",1,10,0.95,0.0189387771245455,0.0203424439954545,1,1
"brier",1,10,0.96,0.0160222075313636,0.0177145536636364,1,1
"brier",1,10,0.97,0.0131327144490909,0.0148224582568182,1,1
"brier",1,10,0.98,0.00896966741318182,0.00854935957954545,1,1
"brier",1,10,0.99,0.00442742097090909,0.004781817125,1,1
"brier",1,10,0.995,0.00271731922090909,0.00275216156590909,1,1
"brier",2,10,0.9,0.0338291975354545,0.032533117075,0.996730389100365,0.978093530231482
"brier",2,10,0.91,0.0308463402363636,0.0308326824409091,0.999512526080286,0.989891134568551
"brier",2,10,0.92,0.0274643881213636,0.0270482125818182,0.996519734423729,0.989112169440204
"brier",2,10,0.93,0.0246746002877273,0.0247879796545455,0.993419121748944,0.981424940170384
"brier",2,10,0.94,0.0217236396777273,0.0221867697545455,0.996119371655468,0.983071910261402
"brier",2,10,0.95,0.0187351341331818,0.0198194146795455,0.989247299863954,0.974288767071156
"brier",2,10,0.96,0.0158278342813636,0.017588334325,0.987868510027753,0.992874822531066
"brier",2,10,0.97,0.0129209159436364,0.0146837673727273,0.98387245026338,0.990643192803251
"brier",2,10,0.98,0.00878993293863636,0.00841172568863636,0.979961968904074,0.983901263056196
"brier",2,10,0.99,0.00433301258,0.00467400699545455,0.978676436794827,0.977454150435447
"brier",2,10,0.995,0.00263380840818182,0.002667337575,0.969267205676581,0.969179138332647
"brier",3,10,0.9,0.0325261638763636,0.0320861530590909,0.958338309457466,0.96465575815452
"brier",3,10,0.91,0.0297770472163636,0.0294479422795455,0.964864274153132,0.945433698468338
"brier",3,10,0.92,0.0266083522795455,0.0260379710090909,0.965459271471624,0.952169165142365
"brier",3,10,0.93,0.0239276774109091,0.0240059756227273,0.963347409962311,0.950463229259046
"brier",3,10,0.94,0.0209680420790909,0.0212542998886364,0.961472074225391,0.941755173193238
"brier",3,10,0.95,0.0179975985509091,0.0190330752409091,0.950304152826396,0.935633655678834
"brier",3,10,0.96,0.0151217817413636,0.0166586144590909,0.943801390149428,0.940391430425197
"brier",3,10,0.97,0.0123693427418182,0.0139575712272727,0.941872511564007,0.941650230038758
"brier",3,10,0.98,0.00844836689227273,0.00809627170227273,0.941881845012114,0.947003296205163
"brier",3,10,0.99,0.00421975390227273,0.00432361228863636,0.953095251162954,0.904177674640028
"brier",3,10,0.995,0.00256371127318182,0.00258858872272727,0.943470775702281,0.940565682913391
"brier",4,10,0.9,0.0309917082631818,0.030332716575,0.913127702886588,0.911939479022477
"brier",4,10,0.91,0.0284866131795455,0.0275504161545455,0.923050400157163,0.884513138204093
"brier",4,10,0.92,0.0254519561604545,0.0249377652727273,0.923500515704234,0.9119363076316
"brier",4,10,0.93,0.0227484040068182,0.022155076175,0.915868920514335,0.877180980965203
"brier",4,10,0.94,0.0194344509504545,0.0191760125363636,0.891150532619271,0.849668495408506
"brier",4,10,0.95,0.0163713243772727,0.0163179546477273,0.864434079856972,0.802162938306404
"brier",4,10,0.96,0.0136695592045455,0.013757443475,0.853163284633978,0.77661812632856
"brier",4,10,0.97,0.0110073619345455,0.0115247376931818,0.838163502086,0.7775186472784
"brier",4,10,0.98,0.00742893803318182,0.00686998510909091,0.828228928785504,0.803567219880131
"brier",4,10,0.99,0.00365295055454545,0.00361060495,0.825074141028741,0.755069643111874
"brier",4,10,0.995,0.00212951627318182,0.00214779436136364,0.783682777053106,0.780402716166185
"brier",5,10,0.9,0.03146313639,0.0312751360636364,0.927017678839575,0.940272897012345
"brier",5,10,0.91,0.02868546993,0.0282959883545455,0.929493946180837,0.908449923865711
"brier",5,10,0.92,0.0255722709877273,0.0253172785,0.927866027114546,0.925814531577951
