"setting","method","mrts_k","parameter","n_datasets","mean_post_mean","median_post_mean","sd_post_mean","mean_post_sd"
3,1,15,"tau.beta",10,0.2,0.2,0,0
3,1,20,"tau.beta",10,0.2,0.2,0,0
3,1,25,"tau.beta",10,0.2,0.2,0,0
3,2,0,"tau.beta",10,27.8193443076218,27.7727402773131,2.15808365081058,6.33013222122616
3,2,3,"tau.beta",10,27.7816007487014,27.7258519998557,2.10163719933617,6.31523241394913
3,2,5,"tau.beta",10,27.7782018165355,27.6189844882702,2.16515193813191,6.29886585955883
3,2,8,"tau.beta",10,27.7502249983704,27.7566593455395,2.07420210589886,6.29205657719581
3,2,10,"tau.beta",10,27.6157310923596,27.5469777699382,2.10334335974711,6.27313908913956
3,2,12,"tau.beta",10,27.575250171033,27.5763584256398,2.07851880444145,6.27556358843748
3,2,15,"tau.beta",10,27.518590212601,27.3957617015745,2.20455285484978,6.24539993876111
3,2,20,"tau.beta",10,27.583368759252,27.3680377005986,2.10866220034669,6.24955609098143
3,2,25,"tau.beta",10,27.5745554076497,27.5402034106812,2.10865067410972,6.27369173791113
3,3,0,"tau.beta",10,13.7790437396138,13.475995349059,2.88531688289562,4.44446698202948
3,3,3,"tau.beta",10,13.8140684509646,13.5110097960364,3.3577962706588,4.32974555001021
3,3,5,"tau.beta",10,14.0059042590306,13.7079644944926,2.91417408769743,4.35045940626067
3,3,8,"tau.beta",10,12.2825384247473,13.072583346107,2.60184470422019,3.82775724206533
3,3,10,"tau.beta",10,13.9428772278262,13.4194576697188,2.0242455890328,4.56268182191576
3,3,12,"tau.beta",10,13.2457094845001,12.5986166277313,3.61271400633161,4.03182862879803
3,3,15,"tau.beta",10,13.9296683504692,12.5423486719268,4.36639542400225,4.26164972688733
3,3,20,"tau.beta",10,14.151667060035,14.0367743031457,3.45824427098078,4.2506227902819
3,3,25,"tau.beta",10,12.8917799535447,12.9133638672257,2.54842248028537,4.17902186379662
3,4,0,"tau.beta",10,45.574561287856,44.7991400299175,7.60867776606837,5.34701299973733
3,4,3,"tau.beta",10,47.3303688560224,49.5819545222787,9.33265933626062,5.60949079437579
3,4,5,"tau.beta",10,45.1954897103612,44.6263086259504,4.20455050348941,5.38796659240914
3,4,8,"tau.beta",10,45.799895120005,45.5200681284134,5.63139809828763,5.50462141685145
3,4,10,"tau.beta",10,48.0956392339519,49.3918945846824,6.02786569576284,5.71466784817093
3,4,12,"tau.beta",10,46.3406728658471,47.2627411370538,5.8021445503345,5.59378159573258
