"setting","metric","quantile","score_mean","score_se","rel_to_gaussian","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
5,"quantile",0.99,0.815540673879993,0.0159943666161876,0.994393542072432,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.995,0.00388544895669488,0.000144758480742558,0.964086116589391,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.995,0.451448467241291,0.0152650180281305,0.962910739374427,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
6,"brier",0.9,0.0590772940534533,0.0012969324530532,1.31152068592972,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"quantile",0.9,5.32489622912557,0.00315955461473338,1.05625258977005,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"brier",0.91,0.0535730750669587,0.00179482233377539,1.28282304320056,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"quantile",0.91,4.92604197729781,0.00331825447875511,1.05403978726279,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"brier",0.92,0.0477262210082501,0.00181734254196683,1.24531015536158,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"quantile",0.92,4.50855952306967,0.00234471539487568,1.05168659568397,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"brier",0.93,0.0416285623677503,0.00141969672133874,1.20887298705153,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"quantile",0.93,4.07076464409127,0.00143157116006876,1.04910498333941,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"brier",0.94,0.0362433474340958,0.0016303785318702,1.1734852636881,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"quantile",0.94,3.61200432189322,0.0025258211437662,1.04619820935244,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"brier",0.95,0.0308516517752949,0.00112347004986357,1.14138000767794,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"quantile",0.95,3.12782318076959,0.00169494705642603,1.04214917115014,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"brier",0.96,0.0248118948672591,0.000242816801075895,1.10599699483003,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"quantile",0.96,2.61506986014097,0.00212974797799559,1.03738886672236,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"brier",0.97,0.0192407608191262,0.000574796304664255,1.05804260122958,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"quantile",0.97,2.06614467737313,0.00826464706099639,1.03071773253974,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"brier",0.98,0.013058693206416,0.000349439543000114,1.01135035548978,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"quantile",0.98,1.47651056698204,0.0120838275386284,1.02286209487046,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"brier",0.99,0.00701081640321492,0.000522959012200497,0.96520778527285,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"quantile",0.99,0.823930265151985,0.0123864552511387,1.00462302007235,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"brier",0.995,0.00387404344902041,9.82360838457862e-05,0.961256098302145,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
6,"quantile",0.995,0.456285308286196,0.0126350091143133,0.973227412316629,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
7,"brier",0.9,0.044858337114828,0.00122637546108124,0.995858696731676,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"quantile",0.9,5.03328294637103,0.000779784448782905,0.998407840902254,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"brier",0.91,0.0415307578442271,0.00171817042070452,0.994466214559623,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
7,"quantile",0.91,4.66633225629385,0.00143020473012312,0.998468929292295,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
