"replicate","phase","setting","method_id","variant","trim_constant","injection_a","beta0_true","beta0_mean","beta0_sd","beta0_bias","beta0_ess","sigma_xi_mean","rank_kept","kept_cols","wall_sec","seed","bias_flag","variance_flag","absorption_flag"
8,"B_skewt_k1",4,2,"B_keep",FALSE,5,15,16.2097745044021,1.08105612440008,1.20977450440212,104.250296422418,0.218508167756936,20,20,59.8900000000003,220458,"WARN","WARN_variance",NA
9,"A_gaussian",1,1,"A_trim",TRUE,0,10,10.0073649150035,0.109139857654995,0.0073649150035493,1891.84416226734,0.655822631143845,19,19,34.6999999999998,120109,"PASS",NA,NA
9,"A_gaussian",1,1,"A_trim",TRUE,2,12,12.0083350264279,0.112582885028916,0.00833502642793249,1870.00014420325,0.655991473501543,19,19,34.8800000000001,120129,"PASS",NA,NA
9,"A_gaussian",1,1,"A_trim",TRUE,5,15,15.0087446791084,0.10912692642175,0.00874467910836785,2057.49752264277,0.655658232835523,19,19,35.1099999999997,120159,"PASS",NA,NA
9,"A_gaussian",1,1,"B_keep",FALSE,0,10,10.0423766006953,0.114694846457588,0.0423766006952704,1843.49354602576,0.60791517624686,20,20,35.4799999999996,120109,"PASS",NA,NA
9,"A_gaussian",1,1,"B_keep",FALSE,2,12,12.0436021893646,0.118589010892879,0.0436021893646128,1817.34863718585,0.608053935653995,20,20,34.7200000000003,120129,"PASS",NA,NA
9,"A_gaussian",1,1,"B_keep",FALSE,5,15,15.0440212656188,0.1145836392728,0.044021265618845,1978.97524893447,0.607751999254546,20,20,35.0600000000004,120159,"PASS",NA,NA
9,"B_skewt_k1",4,2,"A_trim",TRUE,0,10,10.2319546493451,0.173496778735044,0.231954649345054,98.8160365778485,0.648256757853181,19,19,59.0799999999999,220409,"PASS",NA,"WARN_absorption"
9,"B_skewt_k1",4,2,"A_trim",TRUE,2,12,25.4376218661311,0.320910384009016,13.4376218661311,81.0854926116486,0.650965734355685,19,19,61,220429,"WARN",NA,"WARN_absorption"
9,"B_skewt_k1",4,2,"A_trim",TRUE,5,15,28.3999214166049,0.272579649390453,13.3999214166049,93.6198051932898,0.646050441786151,19,19,61.8299999999999,220459,"WARN",NA,"WARN_absorption"
9,"B_skewt_k1",4,2,"B_keep",FALSE,0,10,10.7385421168519,0.745253030726885,0.738542116851868,130.161175885991,0.356694697551782,20,20,60.3000000000002,220409,"PASS","WARN_variance",NA
9,"B_skewt_k1",4,2,"B_keep",FALSE,2,12,12.7444845855159,0.775869020339835,0.744484585515853,192.387428006704,0.328527312757495,20,20,59.9200000000001,220429,"PASS","WARN_variance",NA
9,"B_skewt_k1",4,2,"B_keep",FALSE,5,15,15.7884479018377,0.848140862580918,0.788447901837678,136.592036815688,0.328994074122498,20,20,60.5799999999999,220459,"PASS","WARN_variance",NA
10,"A_gaussian",1,1,"A_trim",TRUE,0,10,9.90353651285507,0.112750445604474,-0.0964634871449288,2341.32678669438,0.684015750003722,19,19,35.7399999999998,120110,"PASS",NA,NA
10,"A_gaussian",1,1,"A_trim",TRUE,2,12,11.9054090817444,0.111859147387724,-0.0945909182555695,2180.52597446571,0.684693174299058,19,19,35.3900000000003,120130,"PASS",NA,NA
