"setting","method","K","rel.brier","se","n"
3,"SymT-K1-T",10,1.00113121589321,0.000792907733195095,10
3,"SymT-K1-T",12,1.00092612637616,0.000979064895747636,10
3,"SymT-K1-T",15,1.00074818725336,0.000809659604773683,10
3,"SymT-K1-T",20,1.00118117048797,0.00118139558094753,10
3,"SymT-K1-T",25,1.00110963372836,0.00107454692234687,10
3,"SymT-K1-T",30,1.00166323844967,0.0010002557172924,10
3,"SymT-K1-T",40,1.00180196693439,0.00115864369001945,10
3,"SymT-K1-T",50,1.00418001885424,0.00116807201466245,10
3,"SkewT-K5",3,0.999331854411502,0.00471713351084852,10
3,"SkewT-K5",5,1.0044495563264,0.0049096262845002,10
3,"SkewT-K5",8,1.00615471103877,0.00397171865082764,10
3,"SkewT-K5",10,0.998153004593957,0.00322541115383191,10
3,"SkewT-K5",12,1.00073156548165,0.00428501644542311,10
3,"SkewT-K5",15,0.997475001249051,0.00244358556739898,10
3,"SkewT-K5",20,0.999734509517993,0.00479485803556091,10
3,"SkewT-K5",25,0.997677400384215,0.00593738587901018,10
3,"SkewT-K5",30,1.00252165392368,0.00347437921237265,10
3,"SkewT-K5",40,0.996313269207899,0.00311862760262642,10
3,"SkewT-K5",50,0.999622934305438,0.00328297115350707,10
3,"SymT-K5-T",3,0.99659208460782,0.00695204279514195,10
3,"SymT-K5-T",5,1.01147790771023,0.00752864113347891,10
3,"SymT-K5-T",8,1.00102942721221,0.0114727840443836,10
3,"SymT-K5-T",10,1.00880082021899,0.0101591515960397,10
3,"SymT-K5-T",12,0.993388577311589,0.0108919219255761,10
3,"SymT-K5-T",15,1.01342936704982,0.0117353405968361,10
3,"SymT-K5-T",20,1.06790891107833,0.0537753648900644,10
3,"SymT-K5-T",25,1.0664100395218,0.0499436705036156,10
3,"SymT-K5-T",30,1.0066094120368,0.0120086648476281,10
3,"SymT-K5-T",40,1.12358887575369,0.0941060040061574,10
3,"SymT-K5-T",50,1.15964068299094,0.0827590691951415,10
4,"Gaussian",3,1.00003322916478,4.70112872228481e-05,3
4,"Gaussian",5,0.999044039059698,0.000318176873652483,3
4,"Gaussian",8,0.999394145121481,0.000141357434552036,3
4,"Gaussian",10,0.999792638287028,0.00109563631831289,3
4,"Gaussian",12,0.999632693016109,0.000970226974118089,3
4,"Gaussian",15,0.999662842618763,0.00118442392785685,3
4,"Gaussian",20,0.999252242234226,0.000619796299373932,3
4,"Gaussian",25,0.999010935091889,0.000765063376014847,3
4,"Gaussian",30,0.99860803970412,0.000800961463281909,3
4,"Gaussian",40,0.999208112020996,0.000575656406251551,3
4,"Gaussian",50,0.998489467419796,0.00135074956287691,3
4,"SkewT-K1",3,1.00019024249039,8.22848310696018e-05,3
4,"SkewT-K1",5,1.00040365297563,0.000600815717950928,3
4,"SkewT-K1",8,0.99949033505544,0.000339067660042195,3
4,"SkewT-K1",10,1.00042423601969,0.000924597388137183,3
4,"SkewT-K1",12,1.00030080289225,0.00106717969606133,3
4,"SkewT-K1",15,0.999898839743691,0.000508896903176672,3
4,"SkewT-K1",20,0.999197050504845,0.00105863995627597,3
4,"SkewT-K1",25,0.998609155638103,0.000782040827934181,3
4,"SkewT-K1",30,0.998048295436746,0.000847260572309173,3
4,"SkewT-K1",40,0.999230544147341,0.000613374558316681,3
4,"SkewT-K1",50,0.999067447583491,0.00130169092259035,3
4,"SymT-K1-T",3,0.999909171057079,0.000386535195292193,3
4,"SymT-K1-T",5,0.998103297443532,0.000282521839026231,3
4,"SymT-K1-T",8,0.998832810046048,0.000738198303757102,3
4,"SymT-K1-T",10,0.999182764741122,0.000767406909727539,3
4,"SymT-K1-T",12,0.999752776289154,0.000303049376268796,3
4,"SymT-K1-T",15,0.99876822068958,0.000735248943793651,3
4,"SymT-K1-T",20,1.00039468176129,0.00136041034942548,3
4,"SymT-K1-T",25,0.999156297775819,0.0005937631958922,3
4,"SymT-K1-T",30,0.998092639859568,0.00077660144137171,3
4,"SymT-K1-T",40,1.00032211656277,0.00150950817739736,3
4,"SymT-K1-T",50,0.998651703702175,0.00102087248002163,3
4,"SkewT-K5",3,0.98892326921497,0.00401555158791042,3
4,"SkewT-K5",5,0.993044137065601,0.0101551490423489,3
4,"SkewT-K5",8,0.988499170212704,0.00855754902692239,3
4,"SkewT-K5",10,0.994280956776081,0.00870818159682897,3
4,"SkewT-K5",12,0.992379013779293,0.00745979458695141,3
4,"SkewT-K5",15,0.993646450956807,0.00667111113339304,3
4,"SkewT-K5",20,0.987322692421391,0.00879924809199467,3
4,"SkewT-K5",25,0.985045913943532,0.00483209708088011,3
4,"SkewT-K5",30,0.994095575259426,0.00940520997320284,3
4,"SkewT-K5",40,0.988084341181664,0.00957340901090148,3
4,"SkewT-K5",50,0.983137499827993,0.00585056990216776,3
4,"SymT-K5-T",3,0.981108982572465,0.00205116417219421,3
