"setting","surf_type","set","K","mse","rel","rec.rmse"
11,"invariant_strong",2,96,44.489234390512,0.274988601234278,9.51651251984565
11,"invariant_strong",3,96,43.2102948947868,0.270894042268314,10.4252765874837
11,"invariant_strong",4,96,41.00642686626,0.26485212062981,9.14692675369459
11,"invariant_strong",5,96,41.0310428140784,0.266508766655853,8.44890345165346
11,"invariant_strong",6,96,42.238568417164,0.266030241486341,8.49906143506986
11,"invariant_strong",7,96,44.056894414236,0.280003669568321,9.13780912812368
11,"invariant_strong",8,96,42.2253658422498,0.269692633611146,8.44028925267609
11,"invariant_strong",9,96,40.870190324782,0.263860543117614,8.59709544292234
11,"invariant_strong",10,96,40.7575161109904,0.250871819944855,8.43323007717078
12,"mrts_multibump",1,96,41.9626451889097,0.284791951926324,6.01675134193346
12,"mrts_multibump",2,96,35.8317648978024,0.259515872116056,5.73411888416131
12,"mrts_multibump",3,96,35.4009763645682,0.258434910704815,6.07208986207007
12,"mrts_multibump",4,96,34.9180953619376,0.256840111060504,5.76087285272001
12,"mrts_multibump",5,96,36.1667818212117,0.261571454975705,6.27504542567767
12,"mrts_multibump",6,96,36.8489471833896,0.263379886981175,5.8825510729348
12,"mrts_multibump",7,96,37.8820328989433,0.267806406209155,6.86775984510354
12,"mrts_multibump",8,96,39.3071247448715,0.282301057910466,6.13165501564978
12,"mrts_multibump",9,96,34.7575115353749,0.256185626938142,6.31109402378299
12,"mrts_multibump",10,96,36.576757148696,0.258473669921574,7.33438756712131
13,"franke",1,96,50.4981138879452,0.31541530396109,5.98613344488453
13,"franke",2,96,46.4660048290202,0.306212833489658,6.06032816836857
13,"franke",3,96,46.2503209029544,0.311680432864802,6.06978370437775
13,"franke",4,96,49.7326451570088,0.324892001997411,6.05738905041183
13,"franke",5,96,47.9263955936156,0.311281305785899,6.00893579270442
13,"franke",6,96,46.8966028473967,0.30455342492365,6.02935857783951
13,"franke",7,96,48.6985336182599,0.316157331764604,6.07385156720552
13,"franke",8,96,48.2823728100779,0.314653506004916,6.04078907645995
13,"franke",9,96,48.9010726543278,0.309386568770397,5.92224649352081
13,"franke",10,96,48.1517894423542,0.319011516078379,6.08582854016779
14,"ridge_curved",1,96,49.6001284232169,0.310741744354161,6.14861503484772
14,"ridge_curved",2,96,51.318122717753,0.312889472283587,6.0921371687046
14,"ridge_curved",3,96,50.3445147232705,0.315086777784652,6.23831826603845
14,"ridge_curved",4,96,50.5511238882,0.315911565420596,6.18847906827892
14,"ridge_curved",5,96,47.5603828410322,0.310531677813879,6.24247788414863
14,"ridge_curved",6,96,51.2860671943396,0.320261586831822,6.23376871161909
14,"ridge_curved",7,96,52.1248486431421,0.318051003739643,6.11064088507493
14,"ridge_curved",8,96,49.2815698606964,0.31591855716066,6.29585343273964
14,"ridge_curved",9,96,48.8856811689115,0.308735228365521,6.19508136860212
14,"ridge_curved",10,96,50.1869975430247,0.310530717620952,6.12858137711941
15,"annulus",1,96,42.3661722298647,0.388397213323026,5.43978477699735
15,"annulus",2,96,40.0144174215376,0.365568932854823,5.40340114996187
15,"annulus",3,96,40.9904762100235,0.375104773122508,5.49728878110652
15,"annulus",4,96,40.5718173808766,0.372600382648992,5.45801837267508
15,"annulus",5,96,41.4635918525778,0.370550871222681,5.3948716753803
15,"annulus",6,96,41.2571274304178,0.376506667270576,5.46223395693069
15,"annulus",7,96,41.5090987435243,0.369401836014181,5.44594138112038
15,"annulus",8,96,42.9219436144804,0.376381017250344,5.42908633883293
15,"annulus",9,96,42.4205606246477,0.383427854565666,5.49697937785434
15,"annulus",10,96,41.5826930199139,0.375309966628214,5.42523009378418
16,"sigmoid_front",1,96,35.2257326928446,0.32264040603465,4.91346076480811
16,"sigmoid_front",2,96,34.4899556314349,0.319351054604705,4.94905751453536
16,"sigmoid_front",3,96,35.654133976645,0.314372098444194,4.9175784999511
16,"sigmoid_front",4,96,36.0681148635836,0.326930555462116,4.9415878491212
16,"sigmoid_front",5,96,36.2675772335786,0.325567052177359,4.92790117207757
16,"sigmoid_front",6,96,35.8091063410679,0.328233798443391,4.9603738012429
16,"sigmoid_front",7,96,37.7007212111252,0.328407668864371,4.82792364003948
16,"sigmoid_front",8,96,38.3452545477441,0.333114756061151,4.87153749629869
